step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.160978,2.00e-05,3.2,8463
2,0,0.130938,2.00e-05,3.6,8482
3,0,0.033025,2.00e-05,4.1,8482
4,0,0.021238,2.00e-05,4.6,8482
5,0,0.062785,2.00e-05,5.0,8495
6,0,0.073685,2.00e-05,5.5,8508
7,0,0.043108,2.00e-05,6.2,8508
8,0,0.072379,2.00e-05,6.6,8508
9,0,0.094417,2.00e-05,7.2,8508
10,0,0.039769,2.00e-05,7.8,8508
11,0,0.136946,2.00e-05,8.4,8508
12,0,0.049090,2.00e-05,9.2,8508
13,0,0.051204,2.00e-05,9.9,8508
14,0,0.074635,2.00e-05,10.7,8508
15,0,0.026346,2.00e-05,11.4,8508
16,0,0.100831,2.00e-05,12.0,8508
17,0,0.015156,2.00e-05,12.6,8508
18,0,0.231269,2.00e-05,13.3,8508
19,0,0.057038,2.00e-05,13.9,8508
20,0,0.043464,2.00e-05,14.7,8508
21,0,0.029654,2.00e-05,15.3,8508
22,0,0.041180,2.00e-05,16.0,8508
23,0,0.014620,2.00e-05,16.7,8508
24,0,0.155459,2.00e-05,17.4,8508
25,0,0.062372,2.00e-05,18.0,8508
26,0,0.051687,2.00e-05,18.7,8508
27,0,0.041455,2.00e-05,19.3,8508
28,0,0.067450,2.00e-05,19.9,8508
29,0,0.075490,2.00e-05,20.5,8508
30,0,0.029531,2.00e-05,21.7,8508
31,0,0.012980,2.00e-05,22.3,8508
32,0,0.102530,2.00e-05,23.0,8508
33,0,0.022752,2.00e-05,23.7,8508
34,0,0.035848,2.00e-05,24.5,8508
35,0,0.089869,2.00e-05,25.2,8508
36,0,0.120935,2.00e-05,26.2,8508
37,0,0.077944,2.00e-05,26.9,8508
38,0,0.094794,2.00e-05,27.6,8508
39,0,0.021582,2.00e-05,28.2,8508
40,0,0.047061,2.00e-05,28.9,8508
41,0,0.067175,2.00e-05,29.7,8508
42,0,0.070001,2.00e-05,30.4,8508
43,0,0.022428,2.00e-05,31.1,8508
44,0,0.024147,2.00e-05,31.7,8508
45,0,0.059428,2.00e-05,32.4,8508
46,0,0.030501,2.00e-05,33.1,8508
47,0,0.056110,2.00e-05,33.8,8508
48,0,0.274516,2.00e-05,34.4,8508
49,0,0.036162,2.00e-05,35.2,8508
50,0,0.012327,2.00e-05,35.9,8508
51,0,0.028910,2.00e-05,36.7,8508
52,0,0.034885,2.00e-05,37.4,8508
53,0,0.047259,2.00e-05,38.1,8508
54,0,0.052693,2.00e-05,38.8,8508
55,0,0.045146,2.00e-05,39.5,8508
56,0,0.154214,2.00e-05,40.3,8508
57,0,0.076797,2.00e-05,40.9,8508
58,0,0.134966,2.00e-05,41.5,8508
59,0,0.103443,2.00e-05,42.1,8508
60,0,0.042120,2.00e-05,42.8,8508
61,0,0.144626,2.00e-05,43.6,8508
62,0,0.261789,2.00e-05,44.3,8508
63,0,0.111915,2.00e-05,44.9,8508
64,0,0.091405,2.00e-05,45.5,8508
65,0,0.077837,2.00e-05,46.2,8508
66,0,0.067208,2.00e-05,46.9,8508
67,0,0.105462,2.00e-05,47.5,8508
68,0,0.118159,2.00e-05,48.1,8508
69,0,0.039592,2.00e-05,48.7,8508
70,0,0.168199,2.00e-05,49.4,8508
71,0,0.101756,2.00e-05,50.1,8508
72,0,0.073760,2.00e-05,50.8,8508
73,0,0.013891,2.00e-05,51.6,8508
74,0,0.159499,2.00e-05,52.2,8508
75,0,0.072774,2.00e-05,52.9,8508
76,0,0.006263,2.00e-05,53.6,8508
77,0,0.065120,2.00e-05,54.3,8508
78,0,0.149102,2.00e-05,55.0,8508
79,0,0.124307,2.00e-05,55.6,8508
80,0,0.134373,2.00e-05,56.3,8508
81,0,0.075646,2.00e-05,57.6,8508
82,0,0.111098,2.00e-05,58.2,8508
