step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.103267,2.00e-05,2.9,8463
2,0,0.135041,2.00e-05,3.3,8482
3,0,0.076007,2.00e-05,3.6,8482
4,0,0.218323,2.00e-05,4.1,8482
5,1,0.155745,2.00e-05,4.5,8495
6,1,0.094938,2.00e-05,4.9,8508
7,1,0.009342,2.00e-05,5.3,8508
8,1,0.003900,2.00e-05,5.5,8508
9,2,0.072358,2.00e-05,6.0,8508
10,2,0.086400,2.00e-05,6.3,8508
11,2,0.081095,2.00e-05,6.7,8508
12,2,0.018572,2.00e-05,7.0,8508
13,3,0.156337,2.00e-05,7.4,8508
14,3,0.074736,2.00e-05,7.8,8508
15,3,0.083978,2.00e-05,8.2,8508
16,3,0.005522,2.00e-05,8.4,8508
17,4,0.061646,2.00e-05,8.8,8508
18,4,0.105063,2.00e-05,9.2,8508
19,4,0.051242,2.00e-05,9.6,8508
20,4,0.156878,2.00e-05,9.9,8508
21,5,0.067505,2.00e-05,10.3,8508
22,5,0.150405,2.00e-05,10.6,8508
23,5,0.130994,2.00e-05,11.0,8508
24,5,0.159322,2.00e-05,11.4,8508
25,6,0.080110,2.00e-05,11.8,8508
26,6,0.196716,2.00e-05,12.2,8508
27,6,0.156819,2.00e-05,12.6,8508
28,6,0.011774,2.00e-05,12.9,8508
29,7,0.014426,2.00e-05,13.3,8508
30,7,0.003281,2.00e-05,13.6,8508
31,7,0.117414,2.00e-05,14.0,8508
32,7,0.013872,2.00e-05,14.3,8508
33,8,0.062418,2.00e-05,14.7,8508
34,8,0.048085,2.00e-05,15.1,8508
35,8,0.032566,2.00e-05,15.4,8508
36,8,0.035154,2.00e-05,15.7,8508
37,9,0.053435,2.00e-05,16.1,8508
38,9,0.026895,2.00e-05,16.5,8508
39,9,0.109367,2.00e-05,16.8,8508
40,9,0.093113,2.00e-05,17.1,8508
41,10,0.149371,2.00e-05,17.5,8508
42,10,0.093128,2.00e-05,17.9,8508
43,10,0.049715,2.00e-05,18.2,8508
44,10,0.071524,2.00e-05,18.5,8508
45,11,0.022665,2.00e-05,18.9,8508
46,11,0.112137,2.00e-05,19.3,8508
47,11,0.107160,2.00e-05,19.6,8508
48,11,0.079856,2.00e-05,19.9,8508
49,12,0.020988,2.00e-05,20.3,8508
50,12,0.078145,2.00e-05,20.7,8508
51,12,0.025483,2.00e-05,21.1,8508
52,12,0.212698,2.00e-05,21.3,8508
53,13,0.071551,2.00e-05,21.7,8508
54,13,0.105192,2.00e-05,22.1,8508
55,13,0.050062,2.00e-05,22.4,8508
56,13,0.058730,2.00e-05,22.7,8508
57,14,0.094432,2.00e-05,23.1,8508
58,14,0.009816,2.00e-05,23.5,8508
59,14,0.018207,2.00e-05,23.9,8508
60,14,0.172971,2.00e-05,24.1,8508
61,15,0.060930,2.00e-05,24.5,8508
62,15,0.083899,2.00e-05,24.9,8508
63,15,0.023874,2.00e-05,25.3,8508
64,15,0.030473,2.00e-05,25.5,8508
65,16,0.162882,2.00e-05,26.0,8508
66,16,0.162969,2.00e-05,26.4,8508
67,16,0.007238,2.00e-05,26.7,8508
68,16,0.057337,2.00e-05,27.0,8508
69,17,0.068849,2.00e-05,27.5,8508
70,17,0.340009,2.00e-05,27.9,8508
71,17,0.109736,2.00e-05,28.2,8508
72,17,0.136483,2.00e-05,28.5,8508
73,18,0.009348,2.00e-05,28.9,8508
74,18,0.060608,2.00e-05,29.3,8508
75,18,0.165591,2.00e-05,29.6,8508
76,18,0.005644,2.00e-05,29.9,8508
77,19,0.050137,2.00e-05,30.3,8508
78,19,0.128312,2.00e-05,30.7,8508
79,19,0.101007,2.00e-05,31.1,8508
80,19,0.009532,2.00e-05,31.3,8508
81,20,0.167044,2.00e-05,31.7,8508
82,20,0.075664,2.00e-05,32.1,8508
83,20,0.063905,2.00e-05,32.5,8508
84,20,0.061904,2.00e-05,32.7,8508
85,21,0.045225,2.00e-05,33.1,8508
86,21,0.045717,2.00e-05,33.5,8508
87,21,0.132767,2.00e-05,33.9,8508
88,21,0.074708,2.00e-05,34.1,8508
89,22,0.124527,2.00e-05,34.5,8508
90,22,0.035713,2.00e-05,34.9,8508
91,22,0.069055,2.00e-05,35.3,8508
92,22,0.042171,2.00e-05,35.5,8508
93,23,0.140128,2.00e-05,36.0,8508
94,23,0.124220,2.00e-05,36.3,8508
95,23,0.055029,2.00e-05,36.7,8508
96,23,0.088600,2.00e-05,37.0,8508
97,24,0.071492,2.00e-05,37.4,8508
98,24,0.143492,2.00e-05,37.8,8508
99,24,0.083262,2.00e-05,38.2,8508
100,24,0.135491,2.00e-05,38.4,8508
101,25,0.013373,2.00e-05,38.8,8508
102,25,0.060966,2.00e-05,39.2,8508
103,25,0.037654,2.00e-05,39.6,8508
104,25,0.173492,2.00e-05,39.9,8508
105,26,0.083008,2.00e-05,40.3,8508
106,26,0.037072,2.00e-05,40.7,8508
107,26,0.032681,2.00e-05,41.0,8508
108,26,0.144413,2.00e-05,41.3,8508
109,27,0.032929,2.00e-05,41.7,8508
110,27,0.274535,2.00e-05,42.1,8508
111,27,0.103458,2.00e-05,42.4,8508
112,27,0.024950,2.00e-05,42.7,8508
113,28,0.223829,2.00e-05,43.1,8508
114,28,0.185954,2.00e-05,43.5,8508
115,28,0.060405,2.00e-05,43.9,8508
116,28,0.002615,2.00e-05,44.2,8508
117,29,0.088638,2.00e-05,44.6,8508
118,29,0.007165,2.00e-05,45.0,8508
119,29,0.073691,2.00e-05,45.4,8508
120,29,0.059024,2.00e-05,45.7,8508
121,30,0.091061,2.00e-05,46.1,8508
122,30,0.021394,2.00e-05,46.5,8508
123,30,0.095789,2.00e-05,46.8,8508
124,30,0.015813,2.00e-05,47.1,8508
125,31,0.013167,2.00e-05,47.5,8508
126,31,0.083373,2.00e-05,47.9,8508
127,31,0.035809,2.00e-05,48.2,8508
128,31,0.069763,2.00e-05,48.5,8508
129,32,0.115114,2.00e-05,48.9,8508
130,32,0.065750,2.00e-05,49.3,8508
131,32,0.036543,2.00e-05,49.6,8508
132,32,0.017348,2.00e-05,49.9,8508
133,33,0.046286,2.00e-05,50.3,8508
134,33,0.078672,2.00e-05,50.7,8508
135,33,0.129364,2.00e-05,51.0,8508
136,33,0.003525,2.00e-05,51.3,8508
137,34,0.036049,2.00e-05,51.7,8508
138,34,0.032227,2.00e-05,52.1,8508
139,34,0.051111,2.00e-05,52.5,8508
140,34,0.159090,2.00e-05,52.7,8508
141,35,0.096257,2.00e-05,53.1,8508
142,35,0.104805,2.00e-05,53.6,8508
143,35,0.160750,2.00e-05,53.9,8508
144,35,0.003822,2.00e-05,54.2,8508
145,36,0.066480,2.00e-05,54.6,8508
146,36,0.041528,2.00e-05,55.0,8508
147,36,0.118810,2.00e-05,55.3,8508
148,36,0.035234,2.00e-05,55.6,8508
149,37,0.057516,2.00e-05,56.0,8508
150,37,0.013638,2.00e-05,56.4,8508
151,37,0.037097,2.00e-05,56.8,8508
152,37,0.083531,2.00e-05,57.0,8508
153,38,0.097186,2.00e-05,57.4,8508
154,38,0.079428,2.00e-05,57.8,8508
155,38,0.070422,2.00e-05,58.2,8508
156,38,0.002448,2.00e-05,58.5,8508
157,39,0.016140,2.00e-05,58.9,8508
158,39,0.034706,2.00e-05,59.2,8508
159,39,0.115286,2.00e-05,59.6,8508
160,39,0.282326,2.00e-05,59.9,8508
161,40,0.033307,2.00e-05,60.3,8508
162,40,0.090620,2.00e-05,60.7,8508
163,40,0.059862,2.00e-05,61.0,8508
164,40,0.005827,2.00e-05,61.4,8508
165,41,0.039207,2.00e-05,61.8,8508
166,41,0.100141,2.00e-05,62.1,8508
167,41,0.113029,2.00e-05,62.5,8508
168,41,0.062441,2.00e-05,62.8,8508
169,42,0.054094,2.00e-05,63.2,8508
170,42,0.075619,2.00e-05,63.6,8508
171,42,0.095007,2.00e-05,63.9,8508
172,42,0.001699,2.00e-05,64.2,8508
173,43,0.073596,2.00e-05,64.6,8508
174,43,0.022774,2.00e-05,65.0,8508
175,43,0.107989,2.00e-05,65.4,8508
176,43,0.264239,2.00e-05,65.6,8508
177,44,0.072175,2.00e-05,66.1,8508
178,44,0.078097,2.00e-05,66.5,8508
179,44,0.102294,2.00e-05,66.8,8508
180,44,0.006279,2.00e-05,67.1,8508
181,45,0.077592,2.00e-05,67.5,8508
182,45,0.119475,2.00e-05,67.9,8508
183,45,0.133600,2.00e-05,68.2,8508
184,45,0.031583,2.00e-05,68.5,8508
185,46,0.090057,2.00e-05,69.0,8508
186,46,0.049457,2.00e-05,69.3,8508
187,46,0.046759,2.00e-05,69.7,8508
188,46,0.044556,2.00e-05,70.0,8508
189,47,0.009424,2.00e-05,70.4,8508
190,47,0.006155,2.00e-05,70.7,8508
191,47,0.155979,2.00e-05,71.1,8508
192,47,0.160199,2.00e-05,71.4,8508
193,48,0.103270,2.00e-05,71.8,8508
194,48,0.033266,2.00e-05,72.2,8508
195,48,0.026823,2.00e-05,72.6,8508
196,48,0.023222,2.00e-05,72.9,8508
197,49,0.091666,2.00e-05,73.4,8508
198,49,0.061681,2.00e-05,73.7,8508
199,49,0.069284,2.00e-05,74.1,8508
200,49,0.190461,2.00e-05,74.3,8508
201,50,0.064069,2.00e-05,74.8,8508
202,50,0.040535,2.00e-05,75.2,8508
203,50,0.129274,2.00e-05,75.6,8508
204,50,0.080196,2.00e-05,75.8,8508
205,51,0.028556,2.00e-05,76.3,8508
206,51,0.172890,2.00e-05,76.6,8508
207,51,0.107353,2.00e-05,77.0,8508
208,51,0.087131,2.00e-05,77.3,8508
209,52,0.087344,2.00e-05,77.7,8508
210,52,0.021613,2.00e-05,78.1,8508
211,52,0.006632,2.00e-05,78.4,8508
212,52,0.181223,2.00e-05,78.7,8508
213,53,0.465618,2.00e-05,79.1,8508
214,53,0.088979,2.00e-05,79.4,8508
215,53,0.008340,2.00e-05,79.8,8508
216,53,0.047302,2.00e-05,80.1,8508
217,54,0.075304,2.00e-05,80.5,8508
218,54,0.093092,2.00e-05,80.9,8508
219,54,0.263700,2.00e-05,81.3,8508
220,54,0.190780,2.00e-05,81.6,8508
221,55,0.162520,2.00e-05,82.0,8508
222,55,0.073602,2.00e-05,82.4,8508
223,55,0.092379,2.00e-05,82.8,8508
