step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.440452,2.00e-05,3.0,8463
2,0,0.039428,2.00e-05,3.3,8482
3,0,0.063762,2.00e-05,3.9,8482
4,0,0.062028,2.00e-05,4.4,8482
5,0,0.196707,2.00e-05,4.8,8495
6,0,0.090739,2.00e-05,5.2,8508
7,0,0.190907,2.00e-05,5.6,8508
8,0,0.068474,2.00e-05,6.1,8508
9,0,0.028868,2.00e-05,6.9,8508
10,0,0.380441,2.00e-05,7.6,8508
11,0,0.143812,2.00e-05,8.7,8508
12,0,0.175691,2.00e-05,9.4,8508
13,0,0.098266,2.00e-05,10.2,8508
14,0,0.047618,2.00e-05,10.8,8508
15,0,0.024883,2.00e-05,11.4,8508
16,0,0.016245,2.00e-05,12.2,8508
17,0,0.060621,2.00e-05,12.9,8508
18,0,0.090297,2.00e-05,14.1,8508
19,0,0.077378,2.00e-05,14.7,8508
20,0,0.056485,2.00e-05,15.5,8508
21,0,0.006798,2.00e-05,16.1,8508
22,0,0.023384,2.00e-05,16.8,8508
23,0,0.020589,2.00e-05,17.5,8508
24,0,0.034759,2.00e-05,18.1,8508
25,0,0.080944,2.00e-05,18.8,8508
26,0,0.089050,2.00e-05,19.5,8508
27,0,0.014775,2.00e-05,20.2,8508
28,0,0.025463,2.00e-05,20.9,8508
29,0,0.072412,2.00e-05,21.5,8508
30,0,0.037244,2.00e-05,22.2,8508
31,0,0.036182,2.00e-05,23.0,8508
32,0,0.063075,2.00e-05,23.7,8508
33,0,0.074017,2.00e-05,24.4,8508
34,0,0.034163,2.00e-05,25.1,8508
35,0,0.039116,2.00e-05,25.7,8508
36,0,0.006920,2.00e-05,26.4,8508
37,0,0.002777,2.00e-05,27.2,8508
38,0,0.037192,2.00e-05,27.8,8508
39,0,0.024912,2.00e-05,28.5,8508
40,0,0.126954,2.00e-05,29.3,8508
41,0,0.092941,2.00e-05,30.0,8508
42,0,0.052276,2.00e-05,30.6,8508
43,0,0.164335,2.00e-05,31.3,8508
44,0,0.052570,2.00e-05,32.0,8508
45,0,0.021728,2.00e-05,32.7,8508
46,0,0.075108,2.00e-05,33.3,8508
47,0,0.094341,2.00e-05,34.0,8508
48,0,0.229225,2.00e-05,34.8,8508
49,0,0.100008,2.00e-05,35.4,8508
50,0,0.015441,2.00e-05,36.1,8508
51,0,0.024373,2.00e-05,36.9,8508
52,0,0.086573,2.00e-05,37.6,8508
53,0,0.004552,2.00e-05,38.2,8508
54,0,0.073575,2.00e-05,38.9,8508
55,0,0.042560,2.00e-05,39.5,8508
56,0,0.088263,2.00e-05,40.1,8508
57,0,0.149438,2.00e-05,40.8,8508
58,0,0.184336,2.00e-05,41.5,8508
59,0,0.056668,2.00e-05,42.1,8508
60,0,0.127405,2.00e-05,42.8,8508
61,0,0.013417,2.00e-05,43.5,8508
62,0,0.031462,2.00e-05,44.1,8508
63,0,0.043687,2.00e-05,44.7,8508
64,0,0.076078,2.00e-05,45.4,8508
65,0,0.020503,2.00e-05,46.2,8508
66,0,0.090770,2.00e-05,46.8,8508
67,0,0.224424,2.00e-05,47.5,8508
68,0,0.062838,2.00e-05,48.2,8508
69,0,0.061595,2.00e-05,48.9,8508
70,0,0.054715,2.00e-05,49.6,8508
71,0,0.067673,2.00e-05,50.3,8508
72,0,0.088843,2.00e-05,51.0,8508
73,0,0.142594,2.00e-05,51.9,8508
74,0,0.057773,2.00e-05,52.6,8508
75,0,0.078045,2.00e-05,53.7,8508
76,0,0.018386,2.00e-05,54.3,8508
77,0,0.054154,2.00e-05,54.9,8508
78,0,0.113604,2.00e-05,55.6,8508
79,0,0.055906,2.00e-05,56.3,8508
80,0,0.006314,2.00e-05,56.9,8508
81,0,0.052036,2.00e-05,57.6,8508
82,0,0.088312,2.00e-05,58.2,8508
83,0,0.031314,2.00e-05,58.9,8508
84,0,0.180393,2.00e-05,59.6,8508
85,0,0.041649,2.00e-05,60.3,8508
86,0,0.004808,2.00e-05,61.0,8508
87,0,0.016440,2.00e-05,61.5,8508
88,1,0.123965,2.00e-05,62.4,8508
89,1,0.083399,2.00e-05,63.1,8508
90,1,0.093031,2.00e-05,63.7,8508
91,1,0.062311,2.00e-05,64.4,8508
92,1,0.061066,2.00e-05,65.0,8508
93,1,0.061045,2.00e-05,65.7,8508
94,1,0.065774,2.00e-05,66.4,8508
95,1,0.012175,2.00e-05,67.2,8508
96,1,0.065321,2.00e-05,67.9,8508
97,1,0.003941,2.00e-05,68.5,8508
98,1,0.072503,2.00e-05,69.2,8508
99,1,0.071115,2.00e-05,69.8,8508
100,1,0.104311,2.00e-05,70.5,8508
101,1,0.096765,2.00e-05,71.1,8508
102,1,0.025541,2.00e-05,71.8,8508
103,1,0.184425,2.00e-05,72.7,8508
104,1,0.098314,2.00e-05,73.4,8508
105,1,0.108569,2.00e-05,74.1,8508
106,1,0.009454,2.00e-05,74.7,8508
107,1,0.094320,2.00e-05,75.5,8508
108,1,0.207129,2.00e-05,76.2,8508
109,1,0.084850,2.00e-05,77.0,8508
110,1,0.071472,2.00e-05,77.7,8508
111,1,0.139539,2.00e-05,78.3,8508
112,1,0.093797,2.00e-05,78.9,8508
113,1,0.045517,2.00e-05,79.7,8508
114,1,0.069061,2.00e-05,80.3,8508
115,1,0.008321,2.00e-05,80.9,8508
116,1,0.011373,2.00e-05,81.6,8508
117,1,0.104830,2.00e-05,82.4,8508
118,1,0.121077,2.00e-05,83.1,8508
119,1,0.076711,2.00e-05,83.7,8508
120,1,0.012480,2.00e-05,84.9,8508
121,1,0.118267,2.00e-05,85.5,8508
122,1,0.024126,2.00e-05,86.5,8508
123,1,0.191547,2.00e-05,87.1,8508
124,1,0.115846,2.00e-05,87.7,8508
125,1,0.037082,2.00e-05,88.5,8508
126,1,0.186309,2.00e-05,89.1,8508
127,1,0.039539,2.00e-05,89.7,8508
128,1,0.099610,2.00e-05,90.5,8508
129,1,0.035050,2.00e-05,91.1,8508
130,1,0.075152,2.00e-05,92.2,8508
131,1,0.105650,2.00e-05,92.9,8508
132,1,0.029989,2.00e-05,93.6,8508
133,1,0.059661,2.00e-05,94.2,8508
134,1,0.028720,2.00e-05,94.9,8508
135,1,0.021797,2.00e-05,95.7,8508
136,1,0.115707,2.00e-05,96.4,8508
137,1,0.072620,2.00e-05,97.1,8508
138,1,0.055201,2.00e-05,97.7,8508
139,1,0.081233,2.00e-05,98.4,8508
140,1,0.065266,2.00e-05,99.0,8508
141,1,0.035673,2.00e-05,99.8,8508
142,1,0.079751,2.00e-05,100.5,8508
143,1,0.043513,2.00e-05,101.2,8508
144,1,0.045530,2.00e-05,101.9,8508
145,1,0.012054,2.00e-05,102.7,8508
146,1,0.032822,2.00e-05,103.3,8508
147,1,0.037263,2.00e-05,104.1,8508
148,1,0.066038,2.00e-05,104.7,8508
149,1,0.027724,2.00e-05,105.5,8508
150,1,0.040598,2.00e-05,106.2,8508
151,1,0.083414,2.00e-05,106.8,8508
152,1,0.097799,2.00e-05,107.5,8508
153,1,0.021144,2.00e-05,108.1,8508
154,1,0.039573,2.00e-05,109.2,8508
