step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.036749,2.00e-05,3.0,8463
2,0,0.018051,2.00e-05,3.5,8482
3,0,0.123818,2.00e-05,3.9,8482
4,0,0.079541,2.00e-05,4.3,8482
5,0,0.026728,2.00e-05,4.6,8482
6,1,0.110619,2.00e-05,5.1,8495
7,1,0.011219,2.00e-05,5.6,8508
8,1,0.038214,2.00e-05,6.0,8508
9,1,0.073777,2.00e-05,6.4,8508
10,1,0.015935,2.00e-05,6.6,8508
11,2,0.100045,2.00e-05,7.4,8508
12,2,0.062533,2.00e-05,8.2,8508
13,2,0.105891,2.00e-05,8.8,8508
14,2,0.047380,2.00e-05,9.4,8508
15,2,0.011846,2.00e-05,9.7,8508
16,3,0.045831,2.00e-05,10.6,8508
17,3,0.087689,2.00e-05,11.3,8508
18,3,0.204799,2.00e-05,11.9,8508
19,3,0.113795,2.00e-05,12.5,8508
20,3,0.005858,2.00e-05,12.8,8508
21,4,0.105339,2.00e-05,13.5,8508
22,4,0.019385,2.00e-05,14.2,8508
23,4,0.162445,2.00e-05,14.9,8508
24,4,0.075354,2.00e-05,15.6,8508
25,4,0.006371,2.00e-05,15.9,8508
26,5,0.030573,2.00e-05,16.8,8508
27,5,0.189835,2.00e-05,17.4,8508
28,5,0.051822,2.00e-05,18.1,8508
29,5,0.038124,2.00e-05,18.7,8508
30,5,0.046816,2.00e-05,19.0,8508
31,6,0.003625,2.00e-05,19.8,8508
32,6,0.117223,2.00e-05,20.5,8508
33,6,0.030485,2.00e-05,21.2,8508
34,6,0.044346,2.00e-05,21.8,8508
35,6,0.024625,2.00e-05,22.1,8508
36,7,0.044796,2.00e-05,23.0,8508
37,7,0.188602,2.00e-05,23.6,8508
38,7,0.039829,2.00e-05,24.3,8508
39,7,0.109061,2.00e-05,24.9,8508
40,7,0.030833,2.00e-05,25.3,8508
41,8,0.042336,2.00e-05,26.0,8508
42,8,0.015633,2.00e-05,26.7,8508
43,8,0.090036,2.00e-05,27.3,8508
44,8,0.185159,2.00e-05,28.0,8508
45,8,0.145505,2.00e-05,28.4,8508
46,9,0.011102,2.00e-05,29.2,8508
47,9,0.097184,2.00e-05,29.9,8508
48,9,0.040716,2.00e-05,30.5,8508
49,9,0.143175,2.00e-05,31.1,8508
50,9,0.214263,2.00e-05,31.5,8508
51,10,0.039648,2.00e-05,32.3,8508
52,10,0.034515,2.00e-05,32.9,8508
53,10,0.064810,2.00e-05,33.6,8508
54,10,0.092996,2.00e-05,34.2,8508
55,10,0.006874,2.00e-05,34.6,8508
56,11,0.089704,2.00e-05,35.4,8508
57,11,0.034097,2.00e-05,36.0,8508
58,11,0.020666,2.00e-05,36.6,8508
59,11,0.017154,2.00e-05,37.3,8508
60,11,0.299915,2.00e-05,37.7,8508
61,12,0.076411,2.00e-05,38.6,8508
62,12,0.033232,2.00e-05,39.2,8508
63,12,0.035478,2.00e-05,39.9,8508
64,12,0.113379,2.00e-05,40.5,8508
65,12,0.004675,2.00e-05,40.8,8508
66,13,0.091619,2.00e-05,41.6,8508
67,13,0.009507,2.00e-05,42.3,8508
68,13,0.026592,2.00e-05,43.0,8508
69,13,0.056673,2.00e-05,43.5,8508
70,13,0.019303,2.00e-05,43.9,8508
71,14,0.040537,2.00e-05,44.7,8508
72,14,0.041647,2.00e-05,45.4,8508
73,14,0.117571,2.00e-05,46.0,8508
74,14,0.060667,2.00e-05,46.6,8508
75,14,0.031374,2.00e-05,47.0,8508
76,15,0.066731,2.00e-05,47.7,8508
77,15,0.011606,2.00e-05,48.4,8508
78,15,0.013060,2.00e-05,49.1,8508
79,15,0.039286,2.00e-05,49.8,8508
80,15,0.033559,2.00e-05,50.1,8508
81,16,0.144005,2.00e-05,51.0,8508
82,16,0.067642,2.00e-05,51.7,8508
83,16,0.063351,2.00e-05,52.3,8508
84,16,0.006835,2.00e-05,52.9,8508
85,16,0.002271,2.00e-05,53.3,8508
86,17,0.067795,2.00e-05,54.1,8508
87,17,0.065683,2.00e-05,54.7,8508
88,17,0.049416,2.00e-05,55.4,8508
89,17,0.017862,2.00e-05,56.0,8508
90,17,0.387615,2.00e-05,56.4,8508
91,18,0.053564,2.00e-05,57.1,8508
92,18,0.093829,2.00e-05,57.8,8508
93,18,0.057200,2.00e-05,58.5,8508
94,18,0.005767,2.00e-05,59.2,8508
95,18,0.163205,2.00e-05,59.5,8508
96,19,0.082712,2.00e-05,60.3,8508
97,19,0.178109,2.00e-05,61.0,8508
98,19,0.123862,2.00e-05,61.7,8508
99,19,0.028347,2.00e-05,62.3,8508
100,19,0.036869,2.00e-05,62.6,8508
101,20,0.090179,2.00e-05,63.5,8508
102,20,0.123716,2.00e-05,64.1,8508
103,20,0.020690,2.00e-05,64.8,8508
104,20,0.073491,2.00e-05,65.3,8508
105,20,0.091499,2.00e-05,65.7,8508
106,21,0.033897,2.00e-05,66.5,8508
107,21,0.076202,2.00e-05,67.1,8508
108,21,0.041766,2.00e-05,67.8,8508
109,21,0.151278,2.00e-05,68.4,8508
110,21,0.033047,2.00e-05,68.7,8508
111,22,0.044588,2.00e-05,69.4,8508
112,22,0.055963,2.00e-05,70.1,8508
113,22,0.076984,2.00e-05,70.8,8508
114,22,0.041511,2.00e-05,71.5,8508
115,22,0.170595,2.00e-05,71.8,8508
116,23,0.174373,2.00e-05,72.6,8508
117,23,0.044895,2.00e-05,73.3,8508
118,23,0.115013,2.00e-05,74.0,8508
119,23,0.033768,2.00e-05,74.6,8508
120,23,0.003937,2.00e-05,74.9,8508
121,24,0.036960,2.00e-05,75.6,8508
122,24,0.058757,2.00e-05,76.3,8508
123,24,0.007853,2.00e-05,77.0,8508
124,24,0.053412,2.00e-05,77.7,8508
125,24,0.131531,2.00e-05,78.0,8508
126,25,0.042096,2.00e-05,78.7,8508
127,25,0.025023,2.00e-05,79.4,8508
128,25,0.118130,2.00e-05,80.1,8508
129,25,0.061918,2.00e-05,80.8,8508
130,25,0.169862,2.00e-05,81.1,8508
131,26,0.027555,2.00e-05,81.9,8508
132,26,0.079032,2.00e-05,82.6,8508
133,26,0.042178,2.00e-05,83.3,8508
134,26,0.194558,2.00e-05,83.9,8508
135,26,0.154698,2.00e-05,84.3,8508
136,27,0.039949,2.00e-05,85.0,8508
137,27,0.001648,2.00e-05,85.8,8508
138,27,0.158155,2.00e-05,86.5,8508
139,27,0.100930,2.00e-05,87.1,8508
140,27,0.002744,2.00e-05,87.5,8508
141,28,0.020087,2.00e-05,88.4,8508
142,28,0.102655,2.00e-05,89.0,8508
143,28,0.233245,2.00e-05,89.6,8508
144,28,0.034839,2.00e-05,90.2,8508
145,28,0.042414,2.00e-05,90.5,8508
146,29,0.069241,2.00e-05,91.4,8508
147,29,0.075124,2.00e-05,92.1,8508
148,29,0.109828,2.00e-05,92.7,8508
149,29,0.074198,2.00e-05,93.3,8508
150,29,0.008804,2.00e-05,93.7,8508
151,30,0.066780,2.00e-05,94.4,8508
152,30,0.071465,2.00e-05,95.1,8508
153,30,0.062265,2.00e-05,95.8,8508
154,30,0.037704,2.00e-05,96.4,8508
155,30,0.284722,2.00e-05,96.8,8508
156,31,0.035136,2.00e-05,97.5,8508
157,31,0.042692,2.00e-05,98.2,8508
158,31,0.026490,2.00e-05,98.9,8508
159,31,0.066864,2.00e-05,99.5,8508
160,31,0.163215,2.00e-05,99.9,8508
161,32,0.024386,2.00e-05,100.6,8508
162,32,0.018675,2.00e-05,101.3,8508
163,32,0.020986,2.00e-05,102.0,8508
164,32,0.011688,2.00e-05,102.6,8508
165,32,0.009117,2.00e-05,103.0,8508
166,33,0.009486,2.00e-05,103.8,8508
167,33,0.045151,2.00e-05,104.4,8508
168,33,0.120029,2.00e-05,105.1,8508
169,33,0.135740,2.00e-05,105.8,8508
170,33,0.002646,2.00e-05,106.1,8508
171,34,0.006692,2.00e-05,106.9,8508
172,34,0.035673,2.00e-05,107.6,8508
173,34,0.011491,2.00e-05,108.2,8508
174,34,0.035004,2.00e-05,108.9,8508
175,34,0.109007,2.00e-05,109.2,8508
176,35,0.050242,2.00e-05,109.9,8508
177,35,0.092123,2.00e-05,110.7,8508
178,35,0.119481,2.00e-05,111.4,8508
179,35,0.010228,2.00e-05,112.0,8508
180,35,0.009876,2.00e-05,112.3,8508
181,36,0.155806,2.00e-05,113.1,8508
182,36,0.015657,2.00e-05,113.7,8508
183,36,0.059233,2.00e-05,114.5,8508
184,36,0.100882,2.00e-05,115.1,8508
185,36,0.034806,2.00e-05,115.5,8508
186,37,0.036319,2.00e-05,116.2,8508
187,37,0.063477,2.00e-05,116.9,8508
188,37,0.081635,2.00e-05,117.6,8508
