step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.742279,2.00e-05,7.0,8463
2,0,0.038920,2.00e-05,7.3,8482
3,0,0.151705,2.00e-05,7.6,8482
4,0,0.066356,2.00e-05,7.9,8482
5,0,0.410668,2.00e-05,8.2,8495
6,0,0.339533,2.00e-05,8.5,8508
7,0,0.474421,2.00e-05,8.8,8508
8,0,0.103137,2.00e-05,9.0,8508
9,0,0.075000,2.00e-05,9.3,8508
10,0,0.525559,2.00e-05,9.6,8508
11,0,0.269555,2.00e-05,9.9,8508
12,0,0.558318,2.00e-05,10.2,8508
13,0,0.167720,2.00e-05,10.4,8508
14,0,0.043404,2.00e-05,10.7,8508
15,0,0.044158,2.00e-05,11.0,8508
16,0,0.166221,2.00e-05,11.3,8508
17,0,0.201108,2.00e-05,11.6,8508
18,0,0.167067,2.00e-05,11.8,8508
19,0,0.081578,2.00e-05,12.1,8508
20,0,0.044159,2.00e-05,12.4,8508
21,0,0.006019,2.00e-05,12.7,8508
22,0,0.052894,2.00e-05,13.0,8508
23,0,0.058986,2.00e-05,13.3,8508
24,0,0.191828,2.00e-05,13.5,8508
25,0,0.164625,2.00e-05,13.8,8508
26,0,0.194375,2.00e-05,14.1,8508
27,0,0.021028,2.00e-05,14.4,8508
28,0,0.041278,2.00e-05,14.7,8508
29,0,0.325590,2.00e-05,14.9,8508
30,0,0.122849,2.00e-05,15.2,8508
31,0,0.043729,2.00e-05,15.5,8508
32,0,0.242772,2.00e-05,15.8,8508
33,0,0.176810,2.00e-05,16.1,8508
34,0,0.045534,2.00e-05,16.3,8508
35,0,0.067036,2.00e-05,16.6,8508
36,0,0.006885,2.00e-05,16.9,8508
37,0,0.004074,2.00e-05,17.2,8508
38,0,0.043178,2.00e-05,18.0,8508
39,1,0.368215,2.00e-05,23.3,8508
40,1,0.275558,2.00e-05,23.6,8508
41,1,0.170402,2.00e-05,23.9,8508
42,1,0.370693,2.00e-05,24.1,8508
43,1,0.184543,2.00e-05,24.4,8508
44,1,0.207323,2.00e-05,24.7,8508
45,1,0.066916,2.00e-05,25.0,8508
46,1,0.006632,2.00e-05,25.3,8508
47,1,0.196767,2.00e-05,25.6,8508
48,1,0.015921,2.00e-05,25.8,8508
49,1,0.028074,2.00e-05,26.1,8508
50,1,0.013293,2.00e-05,26.4,8508
51,1,0.402688,2.00e-05,26.7,8508
52,1,0.088616,2.00e-05,27.0,8508
53,1,0.035458,2.00e-05,27.2,8508
54,1,0.172369,2.00e-05,27.5,8508
55,1,0.125282,2.00e-05,27.8,8508
56,1,0.290561,2.00e-05,28.1,8508
57,1,0.012570,2.00e-05,28.4,8508
58,1,0.162302,2.00e-05,28.6,8508
59,1,0.029651,2.00e-05,28.9,8508
60,1,0.279765,2.00e-05,29.2,8508
61,1,0.042302,2.00e-05,29.5,8508
62,1,0.050416,2.00e-05,29.8,8508
63,1,0.175506,2.00e-05,30.0,8508
64,1,0.286042,2.00e-05,30.3,8508
65,1,0.154703,2.00e-05,30.6,8508
66,1,0.286597,2.00e-05,30.9,8508
