step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.706286,5.00e-05,7.0,8463
2,0,0.046874,5.00e-05,7.3,8482
3,0,0.162844,5.00e-05,7.6,8482
4,0,0.059015,5.00e-05,7.9,8482
5,0,0.357917,5.00e-05,8.1,8495
6,0,0.357918,5.00e-05,8.4,8508
7,0,0.385269,5.00e-05,8.7,8508
8,0,0.104933,5.00e-05,9.0,8508
9,0,0.070176,5.00e-05,9.3,8508
10,0,0.552883,5.00e-05,9.6,8508
11,0,0.242419,5.00e-05,9.8,8508
12,0,0.299801,5.00e-05,10.1,8508
13,0,0.120330,5.00e-05,10.4,8508
14,0,0.050853,5.00e-05,10.7,8508
15,0,0.057525,5.00e-05,11.0,8508
16,0,0.095223,5.00e-05,11.3,8508
17,0,0.149999,5.00e-05,11.5,8508
18,0,0.124656,5.00e-05,11.8,8508
19,0,0.092763,5.00e-05,12.1,8508
20,0,0.060551,5.00e-05,12.4,8508
21,0,0.008251,5.00e-05,12.7,8508
22,0,0.069754,5.00e-05,12.9,8508
23,0,0.070019,5.00e-05,13.2,8508
24,0,0.192282,5.00e-05,13.5,8508
25,0,0.161568,5.00e-05,13.8,8508
26,0,0.235928,5.00e-05,14.1,8508
27,0,0.022766,5.00e-05,14.3,8508
28,0,0.035466,5.00e-05,14.6,8508
29,0,0.246504,5.00e-05,14.9,8508
30,0,0.056036,5.00e-05,15.2,8508
31,0,0.032800,5.00e-05,15.5,8508
32,0,0.200766,5.00e-05,15.8,8508
33,0,0.211075,5.00e-05,16.0,8508
34,0,0.072493,5.00e-05,16.3,8508
35,0,0.087560,5.00e-05,16.6,8508
36,0,0.009325,5.00e-05,16.9,8508
37,0,0.004399,5.00e-05,17.2,8508
38,0,0.032584,5.00e-05,17.4,8508
39,0,0.060022,5.00e-05,17.7,8508
40,0,0.167282,5.00e-05,18.0,8508
41,0,0.131182,5.00e-05,18.3,8508
42,0,0.050214,5.00e-05,18.6,8508
43,0,0.401533,5.00e-05,18.9,8508
44,0,0.220966,5.00e-05,19.1,8508
45,0,0.045084,5.00e-05,19.4,8508
46,0,0.238687,5.00e-05,19.7,8508
47,0,0.168315,5.00e-05,20.0,8508
48,0,0.341643,5.00e-05,20.3,8508
49,0,0.209189,5.00e-05,20.5,8508
50,0,0.029733,5.00e-05,20.8,8508
51,0,0.029903,5.00e-05,21.1,8508
52,0,0.106133,5.00e-05,21.4,8508
53,0,0.006507,5.00e-05,21.7,8508
54,0,0.140833,5.00e-05,22.0,8508
55,0,0.131661,5.00e-05,22.3,8508
56,0,0.099853,5.00e-05,22.5,8508
57,0,0.229750,5.00e-05,22.8,8508
58,0,0.442468,5.00e-05,23.1,8508
59,0,0.146686,5.00e-05,23.4,8508
60,0,0.238037,5.00e-05,24.2,8508
61,1,0.014493,5.00e-05,29.5,8508
62,1,0.029098,5.00e-05,29.8,8508
63,1,0.200901,5.00e-05,30.1,8508
64,1,0.304996,5.00e-05,30.4,8508
65,1,0.104832,5.00e-05,30.6,8508
66,1,0.213302,5.00e-05,30.9,8508
67,1,0.431364,5.00e-05,31.2,8508
68,1,0.102138,5.00e-05,31.5,8508
69,1,0.425656,5.00e-05,31.8,8508
