step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.700110,1.00e-04,11.6,8463
2,0,0.047589,1.00e-04,11.9,8482
3,0,0.188325,1.00e-04,12.1,8482
4,0,0.059449,1.00e-04,12.4,8482
5,0,0.293684,1.00e-04,12.7,8495
6,0,0.378744,1.00e-04,13.0,8508
7,0,0.579574,1.00e-04,13.3,8508
8,0,0.090310,1.00e-04,13.6,8508
9,0,0.097988,1.00e-04,13.9,8508
10,0,0.505309,1.00e-04,14.1,8508
11,0,0.267051,1.00e-04,14.4,8508
12,0,0.443545,1.00e-04,14.7,8508
13,0,0.124428,1.00e-04,15.0,8508
14,0,0.066122,1.00e-04,15.3,8508
15,0,0.047070,1.00e-04,15.5,8508
16,0,0.161980,1.00e-04,15.8,8508
17,0,0.191975,1.00e-04,16.1,8508
18,0,0.149272,1.00e-04,16.4,8508
19,0,0.049575,1.00e-04,16.7,8508
20,0,0.055361,1.00e-04,17.0,8508
21,0,0.007933,1.00e-04,17.3,8508
22,0,0.041176,1.00e-04,17.5,8508
23,0,0.065067,1.00e-04,17.8,8508
24,0,0.254410,1.00e-04,18.1,8508
25,0,0.160512,1.00e-04,18.4,8508
26,0,0.209038,1.00e-04,18.7,8508
27,0,0.030513,1.00e-04,18.9,8508
28,0,0.051934,1.00e-04,19.2,8508
29,0,0.277688,1.00e-04,19.5,8508
30,0,0.102923,1.00e-04,19.8,8508
31,0,0.044252,1.00e-04,20.1,8508
32,0,0.258937,1.00e-04,20.3,8508
33,0,0.169412,1.00e-04,20.6,8508
34,0,0.063692,1.00e-04,20.9,8508
35,0,0.074645,1.00e-04,21.2,8508
36,0,0.010728,1.00e-04,21.5,8508
37,0,0.005232,1.00e-04,21.7,8508
38,0,0.045215,1.00e-04,22.0,8508
39,0,0.082366,1.00e-04,22.3,8508
40,0,0.169442,1.00e-04,22.6,8508
41,0,0.186001,1.00e-04,22.9,8508
42,0,0.045073,1.00e-04,23.2,8508
43,0,0.390647,1.00e-04,23.4,8508
44,0,0.271793,1.00e-04,23.7,8508
45,0,0.040131,1.00e-04,24.0,8508
46,0,0.351819,1.00e-04,24.3,8508
47,0,0.227648,1.00e-04,24.6,8508
48,0,0.366579,1.00e-04,24.9,8508
49,0,0.208753,1.00e-04,25.1,8508
50,0,0.027401,1.00e-04,25.4,8508
51,0,0.024746,1.00e-04,25.7,8508
52,0,0.099246,1.00e-04,26.0,8508
53,0,0.006656,1.00e-04,26.3,8508
54,0,0.186174,1.00e-04,26.6,8508
55,0,0.130198,1.00e-04,26.8,8508
56,0,0.104731,1.00e-04,27.1,8508
57,0,0.161224,1.00e-04,27.4,8508
58,0,0.422558,1.00e-04,27.7,8508
59,0,0.158849,1.00e-04,28.0,8508
60,0,0.218687,1.00e-04,28.3,8508
61,0,0.015496,1.00e-04,28.5,8508
62,0,0.035566,1.00e-04,28.8,8508
63,0,0.374541,1.00e-04,29.1,8508
64,0,0.235316,1.00e-04,29.4,8508
65,0,0.088970,1.00e-04,29.7,8508
66,0,0.177498,1.00e-04,30.0,8508
67,0,0.511559,1.00e-04,30.2,8508
68,0,0.151429,1.00e-04,30.5,8508
69,0,0.351762,1.00e-04,30.8,8508
70,0,0.092513,1.00e-04,31.1,8508
71,0,0.084086,1.00e-04,31.4,8508
72,0,0.188411,1.00e-04,31.7,8508
73,0,0.328525,1.00e-04,31.9,8508
74,0,0.076124,1.00e-04,32.2,8508
75,0,0.141686,1.00e-04,32.5,8508
76,0,0.024063,1.00e-04,32.8,8508
77,0,0.099522,1.00e-04,33.1,8508
78,0,0.263206,1.00e-04,33.4,8508
79,0,0.059821,1.00e-04,33.6,8508
80,0,0.007780,1.00e-04,33.9,8508
81,0,0.214466,1.00e-04,34.2,8508
82,0,0.189296,1.00e-04,34.5,8508
83,0,0.162720,1.00e-04,34.8,8508
84,0,0.603939,1.00e-04,35.1,8508
85,0,0.043295,1.00e-04,35.3,8508
86,0,0.007483,1.00e-04,35.6,8508
87,0,0.021325,1.00e-04,35.9,8508
88,0,0.262539,1.00e-04,36.2,8508
89,0,0.042611,1.00e-04,36.5,8508
90,0,0.160905,1.00e-04,36.8,8508
91,0,0.115338,1.00e-04,37.0,8508
92,0,0.066083,1.00e-04,37.3,8508
93,0,0.082900,1.00e-04,37.6,8508
94,0,0.068562,1.00e-04,37.9,8508
95,0,0.012999,1.00e-04,38.2,8508
96,0,0.192233,1.00e-04,38.5,8508
97,0,0.005029,1.00e-04,38.7,8508
98,0,0.145713,1.00e-04,39.0,8508
99,0,0.135878,1.00e-04,39.3,8508
100,0,0.095516,1.00e-04,39.6,8508
101,0,0.270551,1.00e-04,39.9,8508
102,0,0.047697,1.00e-04,40.2,8508
103,0,0.147545,1.00e-04,40.4,8508
104,0,0.215996,1.00e-04,40.7,8508
105,0,0.283183,1.00e-04,41.0,8508
106,0,0.010741,1.00e-04,41.3,8508
107,0,0.199276,1.00e-04,41.6,8508
108,0,0.439048,1.00e-04,41.9,8508
109,0,0.219034,1.00e-04,42.1,8508
110,0,0.151822,1.00e-04,42.4,8508
111,0,0.290468,1.00e-04,42.7,8508
112,0,0.134822,1.00e-04,43.0,8508
113,0,0.078560,1.00e-04,43.3,8508
114,0,0.105182,1.00e-04,43.5,8508
115,0,0.017165,1.00e-04,43.8,8508
116,0,0.019988,1.00e-04,44.1,8508
117,0,0.151225,1.00e-04,44.4,8508
118,0,0.247699,1.00e-04,44.7,8508
119,0,0.126722,1.00e-04,45.0,8508
120,0,0.017341,1.00e-04,45.2,8508
121,0,0.181193,1.00e-04,45.5,8508
122,0,0.059987,1.00e-04,45.8,8508
123,0,0.333522,1.00e-04,46.1,8508
124,0,0.146502,1.00e-04,46.4,8508
125,0,0.159133,1.00e-04,46.7,8508
126,0,0.184421,1.00e-04,46.9,8508
127,0,0.128414,1.00e-04,47.2,8508
128,0,0.206716,1.00e-04,47.5,8508
129,0,0.033908,1.00e-04,47.8,8508
130,0,0.357019,1.00e-04,48.1,8508
131,0,0.280628,1.00e-04,48.3,8508
132,0,0.047714,1.00e-04,48.6,8508
133,0,0.146759,1.00e-04,48.9,8508
134,0,0.258056,1.00e-04,49.2,8508
135,0,0.037244,1.00e-04,49.5,8508
136,0,0.141123,1.00e-04,49.8,8508
137,0,0.111081,1.00e-04,50.0,8508
138,0,0.074503,1.00e-04,50.3,8508
139,0,0.090296,1.00e-04,50.6,8508
140,0,0.116430,1.00e-04,50.9,8508
141,0,0.084583,1.00e-04,51.2,8508
142,0,0.191209,1.00e-04,51.5,8508
143,0,0.068550,1.00e-04,51.8,8508
144,0,0.074656,1.00e-04,52.0,8508
145,0,0.013526,1.00e-04,52.3,8508
146,0,0.120284,1.00e-04,52.6,8508
147,0,0.042678,1.00e-04,52.9,8508
148,0,0.152743,1.00e-04,53.2,8508
149,0,0.139296,1.00e-04,53.5,8508
150,0,0.118230,1.00e-04,54.3,8508
151,1,0.166757,1.00e-04,63.9,8508
152,1,0.324829,1.00e-04,64.2,8508
153,1,0.144075,1.00e-04,64.4,8508
154,1,0.111888,1.00e-04,64.7,8508
155,1,0.309348,1.00e-04,65.0,8508
156,1,0.283637,1.00e-04,65.3,8508
157,1,0.131510,1.00e-04,65.6,8508
158,1,0.036564,1.00e-04,65.9,8508
