step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.625048,1.00e-04,7.3,8463
2,0,0.048294,1.00e-04,7.5,8482
3,0,0.229205,1.00e-04,7.8,8482
4,0,0.057014,1.00e-04,8.1,8482
5,0,0.384993,1.00e-04,8.4,8495
6,0,0.347707,1.00e-04,8.7,8508
7,0,0.484008,1.00e-04,9.0,8508
8,0,0.074598,1.00e-04,9.2,8508
9,0,0.094172,1.00e-04,9.5,8508
10,0,0.513801,1.00e-04,9.8,8508
11,0,0.303616,1.00e-04,10.1,8508
12,0,0.487761,1.00e-04,10.4,8508
13,0,0.191124,1.00e-04,10.6,8508
14,0,0.062060,1.00e-04,10.9,8508
15,0,0.051197,1.00e-04,11.2,8508
16,0,0.127750,1.00e-04,11.5,8508
17,0,0.190012,1.00e-04,11.8,8508
18,0,0.153919,1.00e-04,12.0,8508
19,0,0.078684,1.00e-04,12.3,8508
20,0,0.083883,1.00e-04,12.6,8508
21,0,0.008532,1.00e-04,12.9,8508
22,0,0.067924,1.00e-04,13.2,8508
23,0,0.069178,1.00e-04,13.4,8508
24,0,0.193612,1.00e-04,13.7,8508
25,0,0.195737,1.00e-04,14.0,8508
26,0,0.257535,1.00e-04,14.3,8508
27,0,0.021720,1.00e-04,14.5,8508
28,0,0.050654,1.00e-04,14.8,8508
29,0,0.303054,1.00e-04,15.1,8508
30,0,0.076408,1.00e-04,15.4,8508
31,0,0.029599,1.00e-04,15.7,8508
32,0,0.203613,1.00e-04,15.9,8508
33,0,0.214579,1.00e-04,16.2,8508
34,0,0.079605,1.00e-04,16.5,8508
35,0,0.099711,1.00e-04,16.8,8508
36,0,0.007685,1.00e-04,17.1,8508
37,0,0.004444,1.00e-04,17.4,8508
38,0,0.052368,1.00e-04,17.6,8508
39,0,0.085977,1.00e-04,17.9,8508
40,0,0.117310,1.00e-04,18.2,8508
41,0,0.163035,1.00e-04,18.5,8508
42,0,0.052583,1.00e-04,18.8,8508
43,0,0.376527,1.00e-04,19.0,8508
44,0,0.301053,1.00e-04,19.3,8508
45,0,0.056548,1.00e-04,19.6,8508
46,0,0.312430,1.00e-04,19.9,8508
47,0,0.202578,1.00e-04,20.2,8508
48,0,0.416465,1.00e-04,20.5,8508
49,0,0.189824,1.00e-04,20.7,8508
50,0,0.030047,1.00e-04,21.0,8508
51,0,0.021636,1.00e-04,21.3,8508
52,0,0.090463,1.00e-04,21.6,8508
53,0,0.002492,1.00e-04,22.5,8508
54,1,0.091320,1.00e-04,28.0,8508
55,1,0.152640,1.00e-04,28.3,8508
56,1,0.296373,1.00e-04,28.5,8508
57,1,0.025860,1.00e-04,28.8,8508
58,1,0.152091,1.00e-04,29.1,8508
59,1,0.028316,1.00e-04,29.4,8508
60,1,0.215877,1.00e-04,29.7,8508
61,1,0.046780,1.00e-04,29.9,8508
62,1,0.035177,1.00e-04,30.2,8508
63,1,0.183023,1.00e-04,30.5,8508
64,1,0.260791,1.00e-04,30.8,8508
65,1,0.175307,1.00e-04,31.1,8508
66,1,0.327888,1.00e-04,31.3,8508
67,1,0.089167,1.00e-04,31.6,8508
68,1,0.064871,1.00e-04,31.9,8508
69,1,0.267743,1.00e-04,32.2,8508
70,1,0.095167,1.00e-04,32.4,8508
71,1,0.040419,1.00e-04,32.7,8508
72,1,0.072963,1.00e-04,33.0,8508
73,1,0.115677,1.00e-04,33.3,8508
74,1,0.310592,1.00e-04,33.6,8508
75,1,0.231298,1.00e-04,33.9,8508
76,1,0.185572,1.00e-04,34.1,8508
77,1,0.327015,1.00e-04,34.4,8508
78,1,0.501618,1.00e-04,34.7,8508
79,1,0.048509,1.00e-04,35.0,8508
80,1,0.019977,1.00e-04,35.3,8508
81,1,0.347097,1.00e-04,35.5,8508
82,1,0.043162,1.00e-04,35.8,8508
83,1,0.318118,1.00e-04,36.1,8508
84,1,0.197398,1.00e-04,36.4,8508
85,1,0.156307,1.00e-04,36.7,8508
86,1,0.496727,1.00e-04,37.0,8508
87,1,0.060387,1.00e-04,37.2,8508
88,1,0.201112,1.00e-04,37.5,8508
89,1,0.132658,1.00e-04,37.8,8508
90,1,0.054309,1.00e-04,38.1,8508
91,1,0.380650,1.00e-04,38.4,8508
92,1,0.244774,1.00e-04,38.6,8508
93,1,0.144059,1.00e-04,38.9,8508
94,1,0.115959,1.00e-04,39.2,8508
95,1,0.008016,1.00e-04,39.5,8508
96,1,0.058379,1.00e-04,39.8,8508
97,1,0.108624,1.00e-04,40.1,8508
