step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.625048,1.00e-04,7.0,8463
2,0,0.048294,1.00e-04,7.2,8482
3,0,0.229205,1.00e-04,7.5,8482
4,0,0.057014,1.00e-04,7.8,8482
5,0,0.384987,1.00e-04,8.1,8495
6,0,0.347710,1.00e-04,8.4,8508
7,0,0.484008,1.00e-04,8.7,8508
8,0,0.074597,1.00e-04,8.9,8508
9,0,0.094172,1.00e-04,9.2,8508
10,0,0.513797,1.00e-04,9.5,8508
11,0,0.303617,1.00e-04,9.8,8508
12,0,0.487763,1.00e-04,10.1,8508
13,0,0.191122,1.00e-04,10.4,8508
14,0,0.062060,1.00e-04,10.6,8508
15,0,0.051197,1.00e-04,10.9,8508
16,0,0.127748,1.00e-04,11.2,8508
17,0,0.190014,1.00e-04,11.5,8508
18,0,0.153922,1.00e-04,11.7,8508
19,0,0.078682,1.00e-04,12.0,8508
20,0,0.083882,1.00e-04,12.3,8508
21,0,0.008532,1.00e-04,12.6,8508
22,0,0.067923,1.00e-04,12.9,8508
23,0,0.069177,1.00e-04,13.1,8508
24,0,0.193607,1.00e-04,13.4,8508
25,0,0.195737,1.00e-04,13.7,8508
26,0,0.257533,1.00e-04,14.0,8508
27,0,0.021721,1.00e-04,14.3,8508
28,0,0.050654,1.00e-04,14.5,8508
29,0,0.303055,1.00e-04,14.8,8508
30,0,0.076406,1.00e-04,15.1,8508
31,0,0.029594,1.00e-04,15.4,8508
32,0,0.203611,1.00e-04,15.7,8508
33,0,0.214573,1.00e-04,15.9,8508
34,0,0.079608,1.00e-04,16.2,8508
35,0,0.099705,1.00e-04,16.5,8508
36,0,0.007685,1.00e-04,16.8,8508
37,0,0.004444,1.00e-04,17.1,8508
38,0,0.052369,1.00e-04,17.3,8508
39,0,0.085975,1.00e-04,17.6,8508
40,0,0.117312,1.00e-04,17.9,8508
41,0,0.163040,1.00e-04,18.2,8508
42,0,0.052584,1.00e-04,18.5,8508
43,0,0.376524,1.00e-04,18.8,8508
44,0,0.301050,1.00e-04,19.0,8508
45,0,0.056548,1.00e-04,19.3,8508
46,0,0.312426,1.00e-04,19.6,8508
47,0,0.202580,1.00e-04,19.9,8508
48,0,0.416460,1.00e-04,20.2,8508
49,0,0.189826,1.00e-04,20.4,8508
50,0,0.030047,1.00e-04,20.7,8508
51,0,0.021637,1.00e-04,21.0,8508
52,0,0.090462,1.00e-04,21.3,8508
53,0,0.002492,1.00e-04,22.1,8508
54,1,0.091321,1.00e-04,27.3,8508
55,1,0.152645,1.00e-04,27.6,8508
56,1,0.296375,1.00e-04,27.9,8508
57,1,0.025861,1.00e-04,28.2,8508
58,1,0.152094,1.00e-04,28.5,8508
59,1,0.028317,1.00e-04,28.7,8508
60,1,0.215877,1.00e-04,29.0,8508
61,1,0.046779,1.00e-04,29.3,8508
62,1,0.035177,1.00e-04,29.6,8508
63,1,0.183020,1.00e-04,29.9,8508
64,1,0.260791,1.00e-04,30.2,8508
65,1,0.175303,1.00e-04,30.4,8508
66,1,0.327888,1.00e-04,30.7,8508
67,1,0.089169,1.00e-04,31.0,8508
68,1,0.064872,1.00e-04,31.3,8508
69,1,0.267746,1.00e-04,31.6,8508
70,1,0.095168,1.00e-04,31.8,8508
71,1,0.040417,1.00e-04,32.1,8508
72,1,0.072963,1.00e-04,32.4,8508
73,1,0.115677,1.00e-04,32.7,8508
74,1,0.310591,1.00e-04,32.9,8508
75,1,0.231297,1.00e-04,33.2,8508
76,1,0.185572,1.00e-04,33.5,8508
77,1,0.327019,1.00e-04,33.8,8508
78,1,0.501616,1.00e-04,34.1,8508
79,1,0.048509,1.00e-04,34.3,8508
80,1,0.019977,1.00e-04,34.6,8508
81,1,0.347096,1.00e-04,34.9,8508
82,1,0.043163,1.00e-04,35.2,8508
83,1,0.318125,1.00e-04,35.5,8508
84,1,0.197394,1.00e-04,35.7,8508
85,1,0.156308,1.00e-04,36.0,8508
86,1,0.496726,1.00e-04,36.3,8508
87,1,0.060387,1.00e-04,36.6,8508
88,1,0.201110,1.00e-04,36.9,8508
89,1,0.132647,1.00e-04,37.2,8508
90,1,0.054308,1.00e-04,37.4,8508
91,1,0.380653,1.00e-04,37.7,8508
92,1,0.244772,1.00e-04,38.0,8508
93,1,0.144060,1.00e-04,38.3,8508
94,1,0.115960,1.00e-04,38.6,8508
95,1,0.008016,1.00e-04,38.8,8508
96,1,0.058379,1.00e-04,39.1,8508
97,1,0.108624,1.00e-04,39.4,8508
98,1,0.050205,1.00e-04,39.7,8508
99,1,0.346337,1.00e-04,40.0,8508
100,1,0.310510,1.00e-04,40.3,8508
101,1,0.383073,1.00e-04,40.5,8508
102,1,0.009908,1.00e-04,40.8,8508
103,1,0.090457,1.00e-04,41.1,8508
104,1,0.531723,1.00e-04,41.4,8508
105,1,0.154640,1.00e-04,41.7,8508
106,1,0.055879,1.00e-04,42.4,8508
107,2,0.212686,1.00e-04,47.6,8508
