step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.706286,5.00e-05,6.8,8463
2,0,0.046874,5.00e-05,7.1,8482
3,0,0.162844,5.00e-05,7.4,8482
4,0,0.059015,5.00e-05,7.7,8482
5,0,0.357920,5.00e-05,8.0,8495
6,0,0.357917,5.00e-05,8.3,8508
7,0,0.385267,5.00e-05,8.5,8508
8,0,0.104933,5.00e-05,8.8,8508
9,0,0.070177,5.00e-05,9.1,8508
10,0,0.552883,5.00e-05,9.4,8508
11,0,0.242416,5.00e-05,9.7,8508
12,0,0.299801,5.00e-05,10.0,8508
13,0,0.120328,5.00e-05,10.3,8508
14,0,0.050853,5.00e-05,10.5,8508
15,0,0.057525,5.00e-05,10.8,8508
16,0,0.095226,5.00e-05,11.1,8508
17,0,0.149998,5.00e-05,11.4,8508
18,0,0.124658,5.00e-05,11.7,8508
19,0,0.092764,5.00e-05,11.9,8508
20,0,0.060550,5.00e-05,12.2,8508
21,0,0.008251,5.00e-05,12.5,8508
22,0,0.069755,5.00e-05,12.8,8508
23,0,0.070016,5.00e-05,13.1,8508
24,0,0.192280,5.00e-05,13.3,8508
25,0,0.161567,5.00e-05,13.6,8508
26,0,0.235927,5.00e-05,13.9,8508
27,0,0.022767,5.00e-05,14.2,8508
28,0,0.035466,5.00e-05,14.5,8508
29,0,0.246504,5.00e-05,14.7,8508
30,0,0.056036,5.00e-05,15.0,8508
31,0,0.032799,5.00e-05,15.3,8508
32,0,0.200764,5.00e-05,15.6,8508
33,0,0.211071,5.00e-05,15.9,8508
34,0,0.072493,5.00e-05,16.2,8508
35,0,0.087560,5.00e-05,16.4,8508
36,0,0.009325,5.00e-05,16.7,8508
37,0,0.004399,5.00e-05,17.0,8508
38,0,0.032586,5.00e-05,17.3,8508
39,0,0.060021,5.00e-05,17.6,8508
40,0,0.167289,5.00e-05,17.8,8508
41,0,0.131180,5.00e-05,18.1,8508
42,0,0.050214,5.00e-05,18.4,8508
43,0,0.401535,5.00e-05,18.7,8508
44,0,0.220970,5.00e-05,19.0,8508
45,0,0.045084,5.00e-05,19.2,8508
46,0,0.238679,5.00e-05,19.5,8508
47,0,0.168315,5.00e-05,19.8,8508
48,0,0.341643,5.00e-05,20.1,8508
49,0,0.209193,5.00e-05,20.4,8508
50,0,0.029732,5.00e-05,20.7,8508
51,0,0.029903,5.00e-05,20.9,8508
52,0,0.106132,5.00e-05,21.2,8508
53,0,0.006507,5.00e-05,21.5,8508
54,0,0.140834,5.00e-05,21.8,8508
55,0,0.131665,5.00e-05,22.1,8508
56,0,0.099855,5.00e-05,22.3,8508
57,0,0.229743,5.00e-05,22.6,8508
58,0,0.442458,5.00e-05,22.9,8508
59,0,0.146686,5.00e-05,23.2,8508
60,0,0.238035,5.00e-05,24.0,8508
61,1,0.014493,5.00e-05,29.1,8508
62,1,0.029099,5.00e-05,29.4,8508
63,1,0.200902,5.00e-05,29.7,8508
64,1,0.305000,5.00e-05,30.0,8508
65,1,0.104834,5.00e-05,30.3,8508
66,1,0.213300,5.00e-05,30.5,8508
67,1,0.431368,5.00e-05,30.8,8508
68,1,0.102138,5.00e-05,31.1,8508
69,1,0.425652,5.00e-05,31.4,8508
70,1,0.136694,5.00e-05,31.7,8508
71,1,0.111666,5.00e-05,31.9,8508
72,1,0.179411,5.00e-05,32.2,8508
73,1,0.187116,5.00e-05,32.5,8508
74,1,0.087979,5.00e-05,32.8,8508
75,1,0.100374,5.00e-05,33.1,8508
76,1,0.024915,5.00e-05,33.4,8508
77,1,0.099415,5.00e-05,33.6,8508
78,1,0.217718,5.00e-05,33.9,8508
79,1,0.054391,5.00e-05,34.2,8508
80,1,0.007683,5.00e-05,34.5,8508
81,1,0.118321,5.00e-05,34.8,8508
82,1,0.145454,5.00e-05,35.0,8508
83,1,0.107382,5.00e-05,35.3,8508
84,1,0.576163,5.00e-05,35.6,8508
85,1,0.057941,5.00e-05,35.9,8508
86,1,0.008425,5.00e-05,36.2,8508
87,1,0.017126,5.00e-05,36.5,8508
88,1,0.257853,5.00e-05,36.7,8508
89,1,0.045277,5.00e-05,37.0,8508
90,1,0.195468,5.00e-05,37.3,8508
91,1,0.136673,5.00e-05,37.6,8508
92,1,0.130500,5.00e-05,37.9,8508
93,1,0.087150,5.00e-05,38.2,8508
94,1,0.054568,5.00e-05,38.4,8508
95,1,0.016964,5.00e-05,38.7,8508
96,1,0.168111,5.00e-05,39.0,8508
97,1,0.005709,5.00e-05,39.3,8508
98,1,0.142679,5.00e-05,39.6,8508
99,1,0.099532,5.00e-05,39.9,8508
100,1,0.145920,5.00e-05,40.1,8508
101,1,0.223817,5.00e-05,40.4,8508
102,1,0.047040,5.00e-05,40.7,8508
103,1,0.310706,5.00e-05,41.0,8508
104,1,0.152331,5.00e-05,41.3,8508
105,1,0.224705,5.00e-05,41.5,8508
106,1,0.010720,5.00e-05,41.8,8508
107,1,0.080617,5.00e-05,42.1,8508
108,1,0.519440,5.00e-05,42.4,8508
109,1,0.203398,5.00e-05,42.7,8508
110,1,0.120844,5.00e-05,42.9,8508
111,1,0.169661,5.00e-05,43.2,8508
112,1,0.087355,5.00e-05,43.5,8508
113,1,0.094202,5.00e-05,43.8,8508
114,1,0.065155,5.00e-05,44.1,8508
115,1,0.015974,5.00e-05,44.4,8508
116,1,0.018447,5.00e-05,44.6,8508
117,1,0.119856,5.00e-05,44.9,8508
118,1,0.194224,5.00e-05,45.2,8508
119,1,0.110703,5.00e-05,45.5,8508
120,1,0.022079,5.00e-05,46.3,8508
121,2,0.163819,5.00e-05,51.5,8508
122,2,0.063648,5.00e-05,51.8,8508
123,2,0.367871,5.00e-05,52.1,8508
124,2,0.274053,5.00e-05,52.4,8508
125,2,0.122618,5.00e-05,52.6,8508
126,2,0.177754,5.00e-05,52.9,8508
127,2,0.182362,5.00e-05,53.2,8508
128,2,0.178998,5.00e-05,53.5,8508
129,2,0.065371,5.00e-05,53.8,8508
130,2,0.293658,5.00e-05,54.0,8508
131,2,0.205767,5.00e-05,54.3,8508
132,2,0.065489,5.00e-05,54.6,8508
133,2,0.134970,5.00e-05,54.9,8508
134,2,0.304127,5.00e-05,55.2,8508
135,2,0.044344,5.00e-05,55.5,8508
136,2,0.105875,5.00e-05,55.7,8508
137,2,0.075558,5.00e-05,56.0,8508
138,2,0.060084,5.00e-05,56.3,8508
139,2,0.028871,5.00e-05,56.6,8508
140,2,0.154157,5.00e-05,56.9,8508
141,2,0.072951,5.00e-05,57.2,8508
142,2,0.115629,5.00e-05,57.4,8508
143,2,0.062809,5.00e-05,57.7,8508
144,2,0.072903,5.00e-05,58.0,8508
145,2,0.020188,5.00e-05,58.3,8508
146,2,0.077138,5.00e-05,58.6,8508
147,2,0.046275,5.00e-05,58.9,8508
148,2,0.068325,5.00e-05,59.1,8508
149,2,0.156366,5.00e-05,59.4,8508
150,2,0.068431,5.00e-05,59.7,8508
151,2,0.207901,5.00e-05,60.0,8508
152,2,0.312199,5.00e-05,60.3,8508
153,2,0.091629,5.00e-05,60.6,8508
154,2,0.142551,5.00e-05,60.8,8508
155,2,0.314990,5.00e-05,61.1,8508
156,2,0.166866,5.00e-05,61.4,8508
157,2,0.111235,5.00e-05,61.7,8508
158,2,0.037555,5.00e-05,62.0,8508
159,2,0.387324,5.00e-05,62.3,8508
160,2,0.027470,5.00e-05,62.5,8508
161,2,0.011568,5.00e-05,62.8,8508
162,2,0.108662,5.00e-05,63.1,8508
163,2,0.482118,5.00e-05,63.4,8508
164,2,0.062928,5.00e-05,63.7,8508
165,2,0.021032,5.00e-05,63.9,8508
166,2,0.084458,5.00e-05,64.2,8508
167,2,0.115056,5.00e-05,64.5,8508
168,2,0.056026,5.00e-05,64.8,8508
169,2,0.057912,5.00e-05,65.1,8508
170,2,0.210973,5.00e-05,65.4,8508
171,2,0.036364,5.00e-05,65.6,8508
172,2,0.051838,5.00e-05,65.9,8508
173,2,0.190860,5.00e-05,66.2,8508
174,2,0.053780,5.00e-05,66.5,8508
175,2,0.268790,5.00e-05,66.8,8508
176,2,0.087679,5.00e-05,67.1,8508
