step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.625048,1.00e-04,6.9,8463
2,0,0.048294,1.00e-04,7.2,8482
3,0,0.229205,1.00e-04,7.5,8482
4,0,0.057014,1.00e-04,7.8,8482
5,0,0.384987,1.00e-04,8.1,8495
6,0,0.347708,1.00e-04,8.3,8508
7,0,0.484005,1.00e-04,8.6,8508
8,0,0.074598,1.00e-04,8.9,8508
9,0,0.094173,1.00e-04,9.2,8508
10,0,0.513798,1.00e-04,9.5,8508
11,0,0.303620,1.00e-04,9.7,8508
12,0,0.487762,1.00e-04,10.0,8508
13,0,0.191123,1.00e-04,10.3,8508
14,0,0.062060,1.00e-04,10.6,8508
15,0,0.051198,1.00e-04,10.9,8508
16,0,0.127750,1.00e-04,11.2,8508
17,0,0.190014,1.00e-04,11.5,8508
18,0,0.153924,1.00e-04,11.7,8508
19,0,0.078684,1.00e-04,12.0,8508
20,0,0.083883,1.00e-04,12.3,8508
21,0,0.008532,1.00e-04,12.6,8508
22,0,0.067925,1.00e-04,12.9,8508
23,0,0.069178,1.00e-04,13.2,8508
24,0,0.193614,1.00e-04,13.4,8508
25,0,0.195737,1.00e-04,13.7,8508
26,0,0.257532,1.00e-04,14.0,8508
27,0,0.021721,1.00e-04,14.3,8508
28,0,0.050655,1.00e-04,14.6,8508
29,0,0.303054,1.00e-04,14.8,8508
30,0,0.076408,1.00e-04,15.1,8508
31,0,0.029597,1.00e-04,15.4,8508
32,0,0.203602,1.00e-04,15.7,8508
33,0,0.214561,1.00e-04,16.0,8508
34,0,0.079606,1.00e-04,16.3,8508
35,0,0.099705,1.00e-04,16.5,8508
36,0,0.007685,1.00e-04,16.8,8508
37,0,0.004444,1.00e-04,17.1,8508
38,0,0.052369,1.00e-04,17.4,8508
39,0,0.085976,1.00e-04,17.7,8508
40,0,0.117312,1.00e-04,17.9,8508
41,0,0.163034,1.00e-04,18.2,8508
42,0,0.052584,1.00e-04,18.5,8508
43,0,0.376525,1.00e-04,18.8,8508
44,0,0.301051,1.00e-04,19.1,8508
45,0,0.056547,1.00e-04,19.4,8508
46,0,0.312425,1.00e-04,19.6,8508
47,0,0.202575,1.00e-04,19.9,8508
48,0,0.416464,1.00e-04,20.2,8508
49,0,0.189824,1.00e-04,20.5,8508
50,0,0.030046,1.00e-04,20.8,8508
51,0,0.021637,1.00e-04,21.1,8508
52,0,0.090459,1.00e-04,21.3,8508
53,0,0.002492,1.00e-04,22.1,8508
54,1,0.091321,1.00e-04,27.3,8508
55,1,0.152642,1.00e-04,27.5,8508
56,1,0.296376,1.00e-04,27.8,8508
57,1,0.025861,1.00e-04,28.1,8508
58,1,0.152092,1.00e-04,28.4,8508
59,1,0.028317,1.00e-04,28.7,8508
60,1,0.215878,1.00e-04,29.0,8508
61,1,0.046780,1.00e-04,29.2,8508
62,1,0.035177,1.00e-04,29.5,8508
63,1,0.183021,1.00e-04,29.8,8508
64,1,0.260798,1.00e-04,30.1,8508
65,1,0.175305,1.00e-04,30.4,8508
66,1,0.327891,1.00e-04,30.6,8508
67,1,0.089167,1.00e-04,30.9,8508
68,1,0.064870,1.00e-04,31.2,8508
69,1,0.267740,1.00e-04,31.5,8508
70,1,0.095183,1.00e-04,31.8,8508
71,1,0.040416,1.00e-04,32.1,8508
72,1,0.072962,1.00e-04,32.3,8508
73,1,0.115676,1.00e-04,32.6,8508
74,1,0.310592,1.00e-04,32.9,8508
75,1,0.231299,1.00e-04,33.2,8508
76,1,0.185571,1.00e-04,33.5,8508
77,1,0.327018,1.00e-04,33.8,8508
78,1,0.501614,1.00e-04,34.0,8508
79,1,0.048510,1.00e-04,34.3,8508
80,1,0.019978,1.00e-04,34.6,8508
81,1,0.347096,1.00e-04,34.9,8508
82,1,0.043162,1.00e-04,35.2,8508
83,1,0.318117,1.00e-04,35.5,8508
84,1,0.197398,1.00e-04,35.7,8508
85,1,0.156310,1.00e-04,36.0,8508
86,1,0.496724,1.00e-04,36.3,8508
87,1,0.060386,1.00e-04,36.6,8508
88,1,0.201112,1.00e-04,36.9,8508
89,1,0.132633,1.00e-04,37.1,8508
90,1,0.054309,1.00e-04,37.4,8508
91,1,0.380655,1.00e-04,37.7,8508
92,1,0.244780,1.00e-04,38.0,8508
93,1,0.144060,1.00e-04,38.3,8508
94,1,0.115958,1.00e-04,38.6,8508
95,1,0.008016,1.00e-04,38.9,8508
96,1,0.058380,1.00e-04,39.1,8508
97,1,0.108619,1.00e-04,39.4,8508
98,1,0.050205,1.00e-04,39.7,8508
99,1,0.346340,1.00e-04,40.0,8508
100,1,0.310508,1.00e-04,40.3,8508
101,1,0.383077,1.00e-04,40.6,8508
102,1,0.009908,1.00e-04,40.8,8508
103,1,0.090455,1.00e-04,41.1,8508
104,1,0.531733,1.00e-04,41.4,8508
105,1,0.154641,1.00e-04,41.7,8508
106,1,0.055881,1.00e-04,42.4,8508
107,2,0.212691,1.00e-04,47.7,8508
108,2,0.388421,1.00e-04,47.9,8508
109,2,0.370074,1.00e-04,48.2,8508
110,2,0.229561,1.00e-04,48.5,8508
111,2,0.101694,1.00e-04,48.8,8508
112,2,0.062332,1.00e-04,49.1,8508
113,2,0.021194,1.00e-04,49.3,8508
114,2,0.258891,1.00e-04,49.6,8508
115,2,0.073797,1.00e-04,49.9,8508
116,2,0.136056,1.00e-04,50.2,8508
117,2,0.356290,1.00e-04,50.5,8508
118,2,0.084869,1.00e-04,50.8,8508
119,2,0.192763,1.00e-04,51.0,8508
120,2,0.007954,1.00e-04,51.3,8508
121,2,0.018583,1.00e-04,51.6,8508
122,2,0.194390,1.00e-04,51.9,8508
123,2,0.084927,1.00e-04,52.2,8508
124,2,0.085818,1.00e-04,52.4,8508
125,2,0.439272,1.00e-04,52.7,8508
126,2,0.102542,1.00e-04,53.0,8508
127,2,0.241435,1.00e-04,53.3,8508
128,2,0.050485,1.00e-04,53.6,8508
129,2,0.235730,1.00e-04,53.9,8508
130,2,0.365524,1.00e-04,54.1,8508
131,2,0.323938,1.00e-04,54.4,8508
132,2,0.167710,1.00e-04,54.7,8508
133,2,0.225247,1.00e-04,55.0,8508
134,2,0.111527,1.00e-04,55.3,8508
135,2,0.185271,1.00e-04,55.5,8508
136,2,0.135884,1.00e-04,55.8,8508
137,2,0.017820,1.00e-04,56.1,8508
138,2,0.337606,1.00e-04,56.4,8508
139,2,0.104352,1.00e-04,56.7,8508
140,2,0.220026,1.00e-04,57.0,8508
141,2,0.158589,1.00e-04,57.2,8508
142,2,0.054517,1.00e-04,57.5,8508
143,2,0.198462,1.00e-04,57.8,8508
144,2,0.211922,1.00e-04,58.1,8508
145,2,0.282913,1.00e-04,58.4,8508
146,2,0.089448,1.00e-04,58.7,8508
147,2,0.079621,1.00e-04,59.0,8508
148,2,0.106942,1.00e-04,59.2,8508
149,2,0.373564,1.00e-04,59.5,8508
150,2,0.021791,1.00e-04,59.8,8508
151,2,0.297745,1.00e-04,60.1,8508
152,2,0.126550,1.00e-04,60.4,8508
153,2,0.280291,1.00e-04,60.7,8508
154,2,0.355026,1.00e-04,60.9,8508
155,2,0.080721,1.00e-04,61.2,8508
156,2,0.078668,1.00e-04,61.5,8508
157,2,0.181171,1.00e-04,61.8,8508
158,2,0.127003,1.00e-04,62.1,8508
159,2,0.006678,1.00e-04,62.8,8508
160,3,0.079581,1.00e-04,68.1,8508
161,3,0.382301,1.00e-04,68.3,8508
162,3,0.092116,1.00e-04,68.6,8508
163,3,0.242851,1.00e-04,68.9,8508
164,3,0.027986,1.00e-04,69.2,8508
165,3,0.129979,1.00e-04,69.5,8508
166,3,0.053743,1.00e-04,69.7,8508
167,3,0.007019,1.00e-04,70.0,8508
168,3,0.265420,1.00e-04,70.3,8508
169,3,0.168303,1.00e-04,70.6,8508
170,3,0.110629,1.00e-04,70.9,8508
171,3,0.239022,1.00e-04,71.2,8508
172,3,0.058043,1.00e-04,71.4,8508
173,3,0.103561,1.00e-04,71.7,8508
174,3,0.479571,1.00e-04,72.0,8508
175,3,0.250802,1.00e-04,72.3,8508
176,3,0.394061,1.00e-04,72.6,8508
177,3,0.026481,1.00e-04,72.8,8508
178,3,0.087198,1.00e-04,73.1,8508
179,3,0.401246,1.00e-04,73.4,8508
180,3,0.144394,1.00e-04,73.7,8508
181,3,0.323110,1.00e-04,74.0,8508
182,3,0.117295,1.00e-04,74.3,8508
183,3,0.097958,1.00e-04,74.5,8508
184,3,0.005787,1.00e-04,74.8,8508
185,3,0.118332,1.00e-04,75.1,8508
186,3,0.381589,1.00e-04,75.4,8508
187,3,0.037419,1.00e-04,75.7,8508
188,3,0.160525,1.00e-04,76.0,8508
189,3,0.185540,1.00e-04,76.2,8508
190,3,0.179475,1.00e-04,76.5,8508
191,3,0.160821,1.00e-04,76.8,8508
192,3,0.049628,1.00e-04,77.1,8508
193,3,0.255142,1.00e-04,77.4,8508
194,3,0.082742,1.00e-04,77.7,8508
195,3,0.087270,1.00e-04,77.9,8508
196,3,0.024157,1.00e-04,78.2,8508
197,3,0.291844,1.00e-04,78.5,8508
198,3,0.012285,1.00e-04,78.8,8508
199,3,0.020227,1.00e-04,79.1,8508
200,3,0.418053,1.00e-04,79.4,8508
201,3,0.097818,1.00e-04,91.3,8508
202,3,0.190343,1.00e-04,91.6,8515
203,3,0.418852,1.00e-04,91.9,8515
204,3,0.030205,1.00e-04,92.2,8515
205,3,0.076238,1.00e-04,92.5,8515
206,3,0.025274,1.00e-04,92.7,8515
207,3,0.517887,1.00e-04,93.0,8515
208,3,0.377892,1.00e-04,93.3,8515
209,3,0.263754,1.00e-04,93.6,8515
210,3,0.057293,1.00e-04,93.9,8515
211,3,0.020846,1.00e-04,94.2,8515
212,3,0.031047,1.00e-04,94.9,8515
213,4,0.277256,1.00e-04,99.9,8515
214,4,0.033150,1.00e-04,100.1,8515
215,4,0.181819,1.00e-04,100.4,8515
216,4,0.119160,1.00e-04,100.7,8515
217,4,0.213112,1.00e-04,101.0,8515
218,4,0.036634,1.00e-04,101.3,8515
219,4,0.269010,1.00e-04,101.5,8515
220,4,0.227391,1.00e-04,101.8,8515
221,4,0.214875,1.00e-04,102.1,8515
222,4,0.025723,1.00e-04,102.4,8515
223,4,0.070096,1.00e-04,102.7,8515
224,4,0.334654,1.00e-04,103.0,8515
225,4,0.030502,1.00e-04,103.2,8515
226,4,0.060021,1.00e-04,103.5,8515
