step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.664595,1.00e-04,7.0,8463
2,0,0.056801,1.00e-04,7.2,8482
3,0,0.206297,1.00e-04,7.5,8482
4,0,0.068523,1.00e-04,7.8,8482
5,0,0.436810,1.00e-04,8.1,8495
6,0,0.361501,1.00e-04,8.4,8508
7,0,0.435406,1.00e-04,8.7,8508
8,0,0.095698,1.00e-04,9.0,8508
9,0,0.043321,1.00e-04,9.2,8508
10,0,0.525027,1.00e-04,9.5,8508
11,0,0.315424,1.00e-04,9.8,8508
12,0,0.431011,1.00e-04,10.1,8508
13,0,0.122479,1.00e-04,10.4,8508
14,0,0.065447,1.00e-04,10.6,8508
15,0,0.043148,1.00e-04,10.9,8508
16,0,0.160305,1.00e-04,11.2,8508
17,0,0.163081,1.00e-04,11.5,8508
18,0,0.174628,1.00e-04,11.8,8508
19,0,0.097383,1.00e-04,12.0,8508
20,0,0.067429,1.00e-04,12.3,8508
21,0,0.010613,1.00e-04,12.6,8508
22,0,0.070367,1.00e-04,12.9,8508
23,0,0.066072,1.00e-04,13.2,8508
24,0,0.082301,1.00e-04,13.4,8508
25,0,0.127531,1.00e-04,13.7,8508
26,0,0.243137,1.00e-04,14.0,8508
27,0,0.037649,1.00e-04,14.3,8508
28,0,0.049565,1.00e-04,14.6,8508
29,0,0.359354,1.00e-04,14.9,8508
30,0,0.131489,1.00e-04,15.1,8508
31,0,0.057924,1.00e-04,15.4,8508
32,0,0.193744,1.00e-04,15.7,8508
33,0,0.239013,1.00e-04,16.0,8508
34,0,0.061091,1.00e-04,16.3,8508
35,0,0.063283,1.00e-04,16.5,8508
36,0,0.009785,1.00e-04,16.8,8508
37,0,0.004644,1.00e-04,17.1,8508
38,0,0.067283,1.00e-04,17.4,8508
39,0,0.076566,1.00e-04,17.7,8508
40,0,0.192540,1.00e-04,17.9,8508
41,0,0.213248,1.00e-04,18.2,8508
42,0,0.068717,1.00e-04,18.5,8508
43,0,0.405807,1.00e-04,18.8,8508
44,0,0.284528,1.00e-04,19.1,8508
45,0,0.051726,1.00e-04,19.9,8508
46,1,0.319351,1.00e-04,25.2,8508
47,1,0.179444,1.00e-04,25.4,8508
48,1,0.301756,1.00e-04,25.7,8508
49,1,0.200772,1.00e-04,26.0,8508
50,1,0.032095,1.00e-04,26.3,8508
51,1,0.024104,1.00e-04,26.6,8508
52,1,0.115465,1.00e-04,26.8,8508
53,1,0.005620,1.00e-04,27.1,8508
54,1,0.156777,1.00e-04,27.4,8508
55,1,0.143365,1.00e-04,27.7,8508
56,1,0.130339,1.00e-04,28.0,8508
57,1,0.291323,1.00e-04,28.3,8508
58,1,0.530516,1.00e-04,28.5,8508
59,1,0.182584,1.00e-04,28.8,8508
60,1,0.224029,1.00e-04,29.1,8508
61,1,0.016433,1.00e-04,29.4,8508
62,1,0.041984,1.00e-04,29.7,8508
63,1,0.362497,1.00e-04,29.9,8508
64,1,0.306402,1.00e-04,30.2,8508
65,1,0.128862,1.00e-04,30.5,8508
66,1,0.191439,1.00e-04,30.8,8508
