step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.737258,1.00e-04,15.1,8463
2,0,0.022991,1.00e-04,15.5,8482
3,0,0.184276,1.00e-04,15.8,8482
4,0,0.072587,1.00e-04,16.1,8482
5,0,0.439180,1.00e-04,16.3,8495
6,0,0.318464,1.00e-04,16.6,8508
7,0,0.391705,1.00e-04,16.9,8508
8,0,0.110329,1.00e-04,17.2,8508
9,0,0.107617,1.00e-04,17.5,8508
10,0,0.531261,1.00e-04,17.8,8508
11,0,0.231370,1.00e-04,18.1,8508
12,0,0.454311,1.00e-04,18.8,8508
13,0,0.189746,1.00e-04,21.4,8508
14,0,0.066899,1.00e-04,23.3,8508
15,0,0.035423,1.00e-04,24.2,8508
16,0,0.170027,1.00e-04,25.5,8508
17,0,0.133956,1.00e-04,26.1,8508
18,0,0.148431,1.00e-04,27.3,8508
19,0,0.120409,1.00e-04,27.7,8508
20,0,0.080617,1.00e-04,29.1,8508
21,0,0.005495,1.00e-04,29.6,8508
22,0,0.064966,1.00e-04,30.8,8508
23,0,0.072682,1.00e-04,31.2,8508
24,0,0.258299,1.00e-04,32.5,8508
25,0,0.162405,1.00e-04,33.0,8508
26,0,0.163599,1.00e-04,34.2,8508
27,0,0.029099,1.00e-04,34.7,8508
28,0,0.039434,1.00e-04,36.0,8508
29,0,0.384731,1.00e-04,36.5,8508
30,0,0.094559,1.00e-04,37.8,8508
31,0,0.051205,1.00e-04,38.3,8508
32,0,0.251652,1.00e-04,39.6,8508
33,0,0.177172,1.00e-04,40.8,8508
34,0,0.050374,1.00e-04,41.3,8508
35,0,0.079965,1.00e-04,42.6,8508
36,0,0.010500,1.00e-04,43.1,8508
37,0,0.004351,1.00e-04,44.3,8508
38,0,0.042713,1.00e-04,44.9,8508
39,0,0.043826,1.00e-04,46.1,8508
40,0,0.166883,1.00e-04,46.6,8508
41,0,0.154269,1.00e-04,48.0,8508
42,0,0.051478,1.00e-04,48.4,8508
43,0,0.435415,1.00e-04,49.9,8508
44,0,0.179158,1.00e-04,50.3,8508
45,0,0.046292,1.00e-04,51.6,8508
46,0,0.241097,1.00e-04,52.0,8508
47,0,0.219201,1.00e-04,53.4,8508
48,0,0.413211,1.00e-04,53.9,8508
49,0,0.187345,1.00e-04,55.2,8508
50,0,0.034155,1.00e-04,55.6,8508
51,0,0.023080,1.00e-04,56.9,8508
52,0,0.127435,1.00e-04,57.4,8508
53,0,0.006450,1.00e-04,58.7,8508
54,0,0.182615,1.00e-04,59.2,8508
55,0,0.129256,1.00e-04,60.4,8508
56,0,0.106430,1.00e-04,60.9,8508
57,0,0.258771,1.00e-04,62.2,8508
58,0,0.569582,1.00e-04,62.6,8508
59,0,0.190139,1.00e-04,63.9,8508
60,0,0.219963,1.00e-04,65.1,8508
61,0,0.013779,1.00e-04,65.7,8508
62,0,0.037995,1.00e-04,66.1,8508
63,0,0.174819,1.00e-04,67.3,8508
64,0,0.293284,1.00e-04,67.7,8508
65,0,0.129404,1.00e-04,68.0,8508
66,0,0.204225,1.00e-04,69.4,8508
67,0,0.455642,1.00e-04,70.0,8508
68,0,0.149741,1.00e-04,70.5,8508
69,0,0.409872,1.00e-04,71.1,8508
70,0,0.131787,1.00e-04,71.7,8508
71,0,0.125409,1.00e-04,72.3,8508
72,0,0.109502,1.00e-04,73.8,8508
73,0,0.311040,1.00e-04,75.3,8508
74,0,0.065682,1.00e-04,76.9,8508
75,0,0.116671,1.00e-04,78.5,8508
76,0,0.019237,1.00e-04,80.3,8508
77,0,0.082407,1.00e-04,81.8,8508
78,0,0.205711,1.00e-04,83.4,8508
79,0,0.069551,1.00e-04,85.0,8508
80,0,0.006422,1.00e-04,87.1,8508
81,0,0.150778,1.00e-04,89.0,8508
82,0,0.139772,1.00e-04,90.8,8508
83,0,0.121250,1.00e-04,92.6,8508
84,0,0.503683,1.00e-04,94.4,8508
85,0,0.077468,1.00e-04,96.0,8508
86,0,0.008366,1.00e-04,97.7,8508
87,0,0.017701,1.00e-04,99.4,8508
88,0,0.269335,1.00e-04,101.2,8508
89,0,0.118451,1.00e-04,103.4,8508
90,0,0.163012,1.00e-04,105.3,8508
91,0,0.111632,1.00e-04,107.0,8508
92,0,0.154910,1.00e-04,108.8,8508
93,0,0.095218,1.00e-04,110.5,8508
94,0,0.087567,1.00e-04,112.2,8508
95,0,0.012966,1.00e-04,113.9,8508
96,0,0.206807,1.00e-04,115.7,8508
97,0,0.004447,1.00e-04,117.6,8508
98,0,0.144388,1.00e-04,119.7,8508
99,0,0.080682,1.00e-04,121.5,8508
100,0,0.216005,1.00e-04,123.1,8508
101,0,0.209020,1.00e-04,124.7,8508
102,0,0.047214,1.00e-04,126.4,8508
103,0,0.379712,1.00e-04,128.2,8508
104,0,0.189385,1.00e-04,129.9,8508
105,0,0.306434,1.00e-04,131.7,8508
106,0,0.009895,1.00e-04,133.6,8508
107,0,0.146112,1.00e-04,135.7,8508
108,0,0.527416,1.00e-04,137.4,8508
109,0,0.166152,1.00e-04,139.0,8508
110,0,0.118879,1.00e-04,140.8,8508
111,0,0.319830,1.00e-04,142.5,8508
112,0,0.109723,1.00e-04,144.2,8508
113,0,0.082495,1.00e-04,144.7,8508
114,0,0.139936,1.00e-04,146.0,8508
115,0,0.015481,1.00e-04,146.9,8508
116,0,0.019364,1.00e-04,147.4,8508
117,0,0.198359,1.00e-04,147.7,8508
118,0,0.212253,1.00e-04,148.0,8508
119,0,0.130512,1.00e-04,148.6,8508
120,0,0.019542,1.00e-04,149.2,8508
121,0,0.161758,1.00e-04,149.8,8508
122,0,0.058408,1.00e-04,150.4,8508
123,0,0.359962,1.00e-04,151.7,8508
124,0,0.333893,1.00e-04,153.2,8508
125,0,0.094840,1.00e-04,154.7,8508
126,0,0.240135,1.00e-04,156.2,8508
127,0,0.196115,1.00e-04,157.7,8508
128,0,0.195453,1.00e-04,159.1,8508
129,0,0.042493,1.00e-04,160.6,8508
130,0,0.256390,1.00e-04,162.1,8508
131,0,0.297430,1.00e-04,164.1,8508
132,0,0.060520,1.00e-04,166.1,8508
133,0,0.109935,1.00e-04,167.7,8508
134,0,0.310884,1.00e-04,169.3,8508
135,0,0.041194,1.00e-04,170.9,8508
136,0,0.163589,1.00e-04,172.5,8508
137,0,0.128138,1.00e-04,174.1,8508
138,0,0.058825,1.00e-04,175.6,8508
139,0,0.102813,1.00e-04,177.2,8508
140,0,0.167382,1.00e-04,178.9,8508
141,0,0.078043,1.00e-04,180.9,8508
