step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.706073,1.00e-04,6.8,8463
2,0,0.059598,1.00e-04,7.1,8482
3,0,0.158903,1.00e-04,7.4,8482
4,0,0.032662,1.00e-04,7.7,8482
5,0,0.313200,1.00e-04,8.0,8495
6,0,0.383437,1.00e-04,8.3,8508
7,0,0.454075,1.00e-04,8.6,8508
8,0,0.103737,1.00e-04,8.8,8508
9,0,0.109223,1.00e-04,9.1,8508
10,0,0.491839,1.00e-04,9.4,8508
11,0,0.239015,1.00e-04,9.7,8508
12,0,0.326520,1.00e-04,10.0,8508
13,0,0.144122,1.00e-04,10.2,8508
14,0,0.032400,1.00e-04,10.5,8508
15,0,0.044902,1.00e-04,10.8,8508
16,0,0.121090,1.00e-04,11.1,8508
17,0,0.153007,1.00e-04,11.4,8508
18,0,0.088383,1.00e-04,11.7,8508
19,0,0.074772,1.00e-04,12.0,8508
20,0,0.055518,1.00e-04,12.2,8508
21,0,0.008657,1.00e-04,12.5,8508
22,0,0.050295,1.00e-04,12.8,8508
23,0,0.065888,1.00e-04,13.1,8508
24,0,0.152847,1.00e-04,13.4,8508
25,0,0.144363,1.00e-04,13.6,8508
26,0,0.206721,1.00e-04,13.9,8508
27,0,0.021155,1.00e-04,14.2,8508
28,0,0.031258,1.00e-04,14.5,8508
29,0,0.293005,1.00e-04,14.8,8508
30,0,0.078332,1.00e-04,15.1,8508
31,0,0.040274,1.00e-04,15.3,8508
32,0,0.154200,1.00e-04,15.6,8508
33,0,0.182803,1.00e-04,15.9,8508
34,0,0.023825,1.00e-04,16.2,8508
35,0,0.074170,1.00e-04,16.5,8508
36,0,0.007994,1.00e-04,16.8,8508
37,0,0.004657,1.00e-04,17.0,8508
38,0,0.034553,1.00e-04,17.3,8508
39,0,0.047001,1.00e-04,17.6,8508
40,0,0.128136,1.00e-04,17.9,8508
41,0,0.148848,1.00e-04,18.2,8508
42,0,0.070587,1.00e-04,18.4,8508
43,0,0.393653,1.00e-04,18.7,8508
44,0,0.186738,1.00e-04,19.0,8508
45,0,0.052009,1.00e-04,19.3,8508
46,0,0.176474,1.00e-04,19.6,8508
47,0,0.112639,1.00e-04,19.8,8508
48,0,0.401300,1.00e-04,20.1,8508
49,0,0.105943,1.00e-04,20.4,8508
50,0,0.031411,1.00e-04,20.7,8508
