step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.768544,1.00e-04,11.3,8463
2,0,0.060244,1.00e-04,11.5,8482
3,0,0.223908,1.00e-04,11.8,8482
4,0,0.074199,1.00e-04,12.1,8482
5,0,0.341686,1.00e-04,12.4,8495
6,0,0.358246,1.00e-04,12.7,8508
7,0,0.536825,1.00e-04,13.0,8508
8,0,0.128920,1.00e-04,13.3,8508
9,0,0.097841,1.00e-04,13.5,8508
10,0,0.524119,1.00e-04,13.8,8508
11,0,0.273291,1.00e-04,14.1,8508
12,0,0.495562,1.00e-04,14.4,8508
13,0,0.156066,1.00e-04,14.7,8508
14,0,0.039777,1.00e-04,14.9,8508
15,0,0.041671,1.00e-04,15.2,8508
16,0,0.131033,1.00e-04,15.5,8508
17,0,0.187410,1.00e-04,15.8,8508
18,0,0.140883,1.00e-04,16.1,8508
19,0,0.075147,1.00e-04,16.4,8508
20,0,0.052484,1.00e-04,16.6,8508
21,0,0.008613,1.00e-04,16.9,8508
22,0,0.062751,1.00e-04,17.2,8508
23,0,0.053274,1.00e-04,17.5,8508
24,0,0.134591,1.00e-04,17.8,8508
25,0,0.157090,1.00e-04,18.1,8508
26,0,0.249346,1.00e-04,18.3,8508
27,0,0.027306,1.00e-04,18.6,8508
28,0,0.049242,1.00e-04,18.9,8508
29,0,0.367780,1.00e-04,19.2,8508
30,0,0.060154,1.00e-04,19.5,8508
31,0,0.034093,1.00e-04,19.8,8508
32,0,0.169199,1.00e-04,20.0,8508
33,0,0.178897,1.00e-04,20.3,8508
34,0,0.056271,1.00e-04,20.6,8508
35,0,0.086208,1.00e-04,20.9,8508
36,0,0.008200,1.00e-04,21.2,8508
37,0,0.004363,1.00e-04,21.4,8508
38,0,0.053119,1.00e-04,21.7,8508
39,0,0.076983,1.00e-04,22.0,8508
40,0,0.214142,1.00e-04,22.3,8508
41,0,0.139885,1.00e-04,22.6,8508
42,0,0.061345,1.00e-04,22.8,8508
43,0,0.378591,1.00e-04,23.1,8508
44,0,0.217306,1.00e-04,23.4,8508
45,0,0.035436,1.00e-04,23.7,8508
46,0,0.251191,1.00e-04,24.0,8508
47,0,0.170209,1.00e-04,24.2,8508
48,0,0.296526,1.00e-04,24.5,8508
49,0,0.184446,1.00e-04,24.8,8508
50,0,0.028003,1.00e-04,25.1,8508
51,0,0.023322,1.00e-04,25.4,8508
52,0,0.143201,1.00e-04,25.7,8508
53,0,0.005445,1.00e-04,25.9,8508
54,0,0.190007,1.00e-04,26.2,8508
55,0,0.072140,1.00e-04,26.5,8508
56,0,0.134594,1.00e-04,26.8,8508
57,0,0.165588,1.00e-04,27.1,8508
58,0,0.502625,1.00e-04,27.3,8508
59,0,0.229507,1.00e-04,27.6,8508
60,0,0.235206,1.00e-04,27.9,8508
61,0,0.011343,1.00e-04,28.2,8508
62,0,0.029932,1.00e-04,28.5,8508
63,0,0.315946,1.00e-04,28.7,8508
64,0,0.354794,1.00e-04,29.0,8508
65,0,0.121108,1.00e-04,29.3,8508
66,0,0.177956,1.00e-04,29.6,8508
67,0,0.493082,1.00e-04,29.9,8508
68,0,0.108184,1.00e-04,30.1,8508
69,0,0.437360,1.00e-04,30.4,8508
70,0,0.129093,1.00e-04,30.7,8508
71,0,0.085821,1.00e-04,31.0,8508
72,0,0.147147,1.00e-04,31.3,8508
73,0,0.282702,1.00e-04,31.6,8508
74,0,0.069908,1.00e-04,31.8,8508
75,0,0.109482,1.00e-04,32.1,8508
76,0,0.017048,1.00e-04,32.4,8508
77,0,0.094347,1.00e-04,32.7,8508
78,0,0.231871,1.00e-04,33.0,8508
79,0,0.029107,1.00e-04,33.2,8508
80,0,0.007389,1.00e-04,33.5,8508
81,0,0.255397,1.00e-04,33.8,8508
82,0,0.238440,1.00e-04,34.1,8508
83,0,0.142562,1.00e-04,34.4,8508
84,0,0.585023,1.00e-04,34.6,8508
85,0,0.076927,1.00e-04,34.9,8508
86,0,0.004674,1.00e-04,35.2,8508
87,0,0.014119,1.00e-04,35.5,8508
88,0,0.368781,1.00e-04,35.8,8508
89,0,0.084054,1.00e-04,36.1,8508
90,0,0.183042,1.00e-04,36.3,8508
91,0,0.134017,1.00e-04,36.6,8508
92,0,0.104075,1.00e-04,36.9,8508
93,0,0.089540,1.00e-04,37.2,8508
94,0,0.080142,1.00e-04,37.5,8508
95,0,0.015121,1.00e-04,37.8,8508
96,0,0.153632,1.00e-04,38.0,8508
97,0,0.005155,1.00e-04,38.3,8508
98,0,0.134925,1.00e-04,38.6,8508
99,0,0.132768,1.00e-04,38.9,8508
100,0,0.201173,1.00e-04,39.2,8508
101,0,0.195219,1.00e-04,39.5,8508
102,0,0.050582,1.00e-04,39.7,8508
103,0,0.258853,1.00e-04,40.0,8508
104,0,0.219087,1.00e-04,40.3,8508
105,0,0.269387,1.00e-04,40.6,8508
