step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.747518,1.00e-04,7.1,8463
2,0,0.057653,1.00e-04,7.3,8482
3,0,0.099511,1.00e-04,7.6,8482
4,0,0.077333,1.00e-04,7.9,8482
5,0,0.334174,1.00e-04,8.2,8495
6,0,0.363710,1.00e-04,8.5,8508
7,0,0.452274,1.00e-04,8.8,8508
8,0,0.095197,1.00e-04,9.1,8508
9,0,0.096805,1.00e-04,9.3,8508
10,0,0.505998,1.00e-04,9.6,8508
11,0,0.205307,1.00e-04,9.9,8508
12,0,0.471577,1.00e-04,10.2,8508
13,0,0.067045,1.00e-04,11.0,8508
14,1,0.140017,1.00e-04,16.3,8508
15,1,0.337891,1.00e-04,16.5,8508
16,1,0.047948,1.00e-04,16.8,8508
17,1,0.020856,1.00e-04,17.1,8508
18,1,0.154680,1.00e-04,17.4,8508
19,1,0.307680,1.00e-04,17.7,8508
20,1,0.281280,1.00e-04,17.9,8508
21,1,0.007945,1.00e-04,18.2,8508
22,1,0.236691,1.00e-04,18.5,8508
23,1,0.277051,1.00e-04,18.8,8508
24,1,0.017932,1.00e-04,19.1,8508
25,1,0.035342,1.00e-04,19.3,8508
26,1,0.036778,1.00e-04,20.1,8508
27,2,0.128637,1.00e-04,25.3,8508
28,2,0.023638,1.00e-04,25.5,8508
29,2,0.185939,1.00e-04,25.8,8508
30,2,0.426301,1.00e-04,26.1,8508
31,2,0.230111,1.00e-04,26.4,8508
32,2,0.015054,1.00e-04,26.7,8508
33,2,0.156093,1.00e-04,27.0,8508
34,2,0.069221,1.00e-04,27.2,8508
35,2,0.032114,1.00e-04,27.5,8508
36,2,0.071653,1.00e-04,27.8,8508
37,2,0.168886,1.00e-04,28.1,8508
38,2,0.041316,1.00e-04,28.4,8508
39,2,0.003504,1.00e-04,29.1,8508
40,3,0.386079,1.00e-04,34.4,8508
41,3,0.061631,1.00e-04,34.7,8508
42,3,0.115592,1.00e-04,35.0,8508
43,3,0.394232,1.00e-04,35.2,8508
44,3,0.008828,1.00e-04,35.5,8508
45,3,0.075723,1.00e-04,35.8,8508
46,3,0.142928,1.00e-04,36.1,8508
47,3,0.184622,1.00e-04,36.4,8508
48,3,0.536718,1.00e-04,36.7,8508
49,3,0.229743,1.00e-04,36.9,8508
50,3,0.023945,1.00e-04,37.2,8508
51,3,0.021690,1.00e-04,37.5,8508
52,3,0.092007,1.00e-04,38.2,8508
53,4,0.205269,1.00e-04,43.5,8508
54,4,0.433332,1.00e-04,43.7,8508
55,4,0.263555,1.00e-04,44.0,8508
56,4,0.092665,1.00e-04,44.3,8508
57,4,0.064107,1.00e-04,44.6,8508
58,4,0.234737,1.00e-04,44.8,8508
59,4,0.361807,1.00e-04,45.1,8508
60,4,0.078294,1.00e-04,45.4,8508
61,4,0.345147,1.00e-04,45.7,8508
62,4,0.124795,1.00e-04,46.0,8508
63,4,0.312346,1.00e-04,46.3,8508
64,4,0.004598,1.00e-04,46.5,8508
65,4,0.095821,1.00e-04,47.2,8508
66,5,0.225390,1.00e-04,52.5,8508
67,5,0.474353,1.00e-04,52.7,8508
68,5,0.178056,1.00e-04,53.0,8508
69,5,0.017234,1.00e-04,53.3,8508
70,5,0.068493,1.00e-04,53.6,8508
71,5,0.162665,1.00e-04,53.8,8508
72,5,0.446040,1.00e-04,54.1,8508
73,5,0.183543,1.00e-04,54.4,8508
74,5,0.133228,1.00e-04,54.7,8508
75,5,0.136965,1.00e-04,55.0,8508
76,5,0.270242,1.00e-04,55.3,8508
77,5,0.009081,1.00e-04,55.6,8508
78,5,0.046106,1.00e-04,56.3,8508
79,6,0.094790,1.00e-04,61.6,8508
80,6,0.015702,1.00e-04,61.9,8508
81,6,0.343072,1.00e-04,62.2,8508
82,6,0.156588,1.00e-04,62.5,8508
83,6,0.026670,1.00e-04,62.7,8508
84,6,0.427695,1.00e-04,63.0,8508
85,6,0.075318,1.00e-04,63.3,8508
86,6,0.099840,1.00e-04,63.6,8508
87,6,0.187217,1.00e-04,63.9,8508
88,6,0.386753,1.00e-04,64.2,8508
89,6,0.092641,1.00e-04,64.4,8508
90,6,0.043962,1.00e-04,64.7,8508
91,6,0.004166,1.00e-04,65.4,8508
92,7,0.240241,1.00e-04,70.6,8508
93,7,0.249308,1.00e-04,70.9,8508
94,7,0.047246,1.00e-04,71.2,8508
95,7,0.320887,1.00e-04,71.5,8508
96,7,0.019082,1.00e-04,71.8,8508
97,7,0.003069,1.00e-04,72.1,8508
98,7,0.419998,1.00e-04,72.4,8508
99,7,0.101070,1.00e-04,72.6,8508
100,7,0.127068,1.00e-04,72.9,8508
101,7,0.018587,1.00e-04,73.2,8508
102,7,0.272672,1.00e-04,73.5,8508
103,7,0.014424,1.00e-04,73.8,8508
104,7,0.004333,1.00e-04,74.4,8508
105,8,0.185925,1.00e-04,79.6,8508
106,8,0.022001,1.00e-04,79.9,8508
107,8,0.044102,1.00e-04,80.2,8508
108,8,0.047130,1.00e-04,80.5,8508
109,8,0.115451,1.00e-04,80.8,8508
110,8,0.151814,1.00e-04,81.1,8508
111,8,0.354008,1.00e-04,81.3,8508
112,8,0.123297,1.00e-04,81.6,8508
113,8,0.063405,1.00e-04,81.9,8508
114,8,0.074599,1.00e-04,82.2,8508
115,8,0.210146,1.00e-04,82.5,8508
116,8,0.310464,1.00e-04,82.7,8508
117,8,0.308747,1.00e-04,83.4,8508
118,9,0.085234,1.00e-04,88.8,8508
119,9,0.172166,1.00e-04,89.1,8508
120,9,0.259826,1.00e-04,89.4,8508
121,9,0.142271,1.00e-04,89.7,8508
122,9,0.086937,1.00e-04,89.9,8508
123,9,0.033851,1.00e-04,90.2,8508
124,9,0.175908,1.00e-04,90.5,8508
125,9,0.369406,1.00e-04,90.8,8508
126,9,0.023660,1.00e-04,91.1,8508
127,9,0.004657,1.00e-04,91.4,8508
128,9,0.011329,1.00e-04,91.6,8508
129,9,0.183389,1.00e-04,91.9,8508
130,9,0.066325,1.00e-04,92.6,8508
131,10,0.185533,1.00e-04,97.8,8508
132,10,0.049431,1.00e-04,98.1,8508
133,10,0.024515,1.00e-04,98.4,8508
134,10,0.220445,1.00e-04,98.7,8508
135,10,0.002312,1.00e-04,99.0,8508
136,10,0.055902,1.00e-04,99.2,8508
137,10,0.061335,1.00e-04,99.5,8508
138,10,0.073100,1.00e-04,99.8,8508
139,10,0.281099,1.00e-04,100.1,8508
