experiment,status,exit_code,start_time,end_time,duration_min,output_dir,image_list,steps,lr,lora_path,notes
Random_D-High,ok,0,2026-03-17T18:11:03.971079,2026-03-17T19:15:41.162171,64.62,kmc_lora\results\wikiart_mixed\Random_D-High,kmc_lora\artifacts\wikiart_mixed\splits\D-High.txt,1200,0.0001,,
Random_D-High,ok,0,2026-03-17T18:12:25.737752,2026-03-17T19:20:51.251432,68.43,kmc_lora\results\wikiart_mixed\Random_D-High,kmc_lora\artifacts\wikiart_mixed\splits\D-High.txt,1200,0.0001,,
Random_D-High,ok,0,2026-03-17T18:09:53.760506,2026-03-17T19:20:58.907230,71.09,kmc_lora\results\wikiart_mixed\Random_D-High,kmc_lora\artifacts\wikiart_mixed\splits\D-High.txt,1200,0.0001,,
KMC_D-High_P1,FAIL,4294967295,2026-03-17T19:15:41.163170,2026-03-17T19:28:10.253490,12.48,kmc_lora\results\wikiart_mixed\KMC_D-High\phase1,kmc_lora\artifacts\wikiart_mixed\phases\phase1.txt,480,5e-05,,
KMC_D-High_P1,FAIL,4294967295,2026-03-17T19:20:51.252433,2026-03-17T19:28:10.372942,7.32,kmc_lora\results\wikiart_mixed\KMC_D-High\phase1,kmc_lora\artifacts\wikiart_mixed\phases\phase1.txt,480,5e-05,,
KMC_D-High_P2,FAIL,4294967295,2026-03-17T19:28:10.372942,2026-03-17T19:28:39.733160,0.49,kmc_lora\results\wikiart_mixed\KMC_D-High\phase2,kmc_lora\artifacts\wikiart_mixed\phases\phase2.txt,420,0.0001,kmc_lora\results\wikiart_mixed\KMC_D-High\phase1\final,
KMC_D-High_P3,ok,0,2026-03-17T19:28:39.734159,2026-03-17T19:31:16.810384,2.62,kmc_lora\results\wikiart_mixed\KMC_D-High\phase3,kmc_lora\artifacts\wikiart_mixed\phases\phase3.txt,300,2e-05,kmc_lora\results\wikiart_mixed\KMC_D-High\phase2\final,
Random_D-Medium,ok,0,2026-03-17T19:31:16.811383,2026-03-17T19:39:35.120604,8.31,kmc_lora\results\wikiart_mixed\Random_D-Medium,kmc_lora\artifacts\wikiart_mixed\splits\D-Medium.txt,1200,0.0001,,
KMC_D-Medium_P1,ok,0,2026-03-17T19:39:35.121609,2026-03-17T19:43:09.188242,3.57,kmc_lora\results\wikiart_mixed\KMC_D-Medium\phase1,kmc_lora\artifacts\wikiart_mixed\phases\phase1.txt,480,5e-05,,
KMC_D-Medium_P2,ok,0,2026-03-17T19:43:09.189242,2026-03-17T19:46:26.163270,3.28,kmc_lora\results\wikiart_mixed\KMC_D-Medium\phase2,kmc_lora\artifacts\wikiart_mixed\phases\phase2.txt,420,0.0001,kmc_lora\results\wikiart_mixed\KMC_D-Medium\phase1\final,
KMC_D-Medium_P3,ok,0,2026-03-17T19:46:26.163270,2026-03-17T19:49:00.276817,2.57,kmc_lora\results\wikiart_mixed\KMC_D-Medium\phase3,kmc_lora\artifacts\wikiart_mixed\phases\phase3.txt,300,2e-05,kmc_lora\results\wikiart_mixed\KMC_D-Medium\phase2\final,
Random_D-Low,ok,0,2026-03-17T19:49:00.276817,2026-03-17T19:57:53.701119,8.89,kmc_lora\results\wikiart_mixed\Random_D-Low,kmc_lora\artifacts\wikiart_mixed\splits\D-Low.txt,1200,0.0001,,
