path,orig_path,width,height,mode,format,cluster,typicality,heterogeneity,quality
datasets\processed\wikiart_mixed\Cubism\Cubism_0000.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0000.png,614,511,RGB,png,1,0.57460827,0.0,0.012360148
datasets\processed\wikiart_mixed\Cubism\Cubism_0001.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0001.png,511,765,RGB,png,1,0.5170968,0.0,0.028172687
datasets\processed\wikiart_mixed\Cubism\Cubism_0002.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0002.png,511,630,RGB,png,1,0.44830158,0.0,0.020279627
datasets\processed\wikiart_mixed\Cubism\Cubism_0003.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0003.png,690,511,RGB,png,1,0.49668044,0.0,0.0130777545
datasets\processed\wikiart_mixed\Cubism\Cubism_0004.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0004.png,687,511,RGB,png,1,0.4133933,0.0,0.013832104
datasets\processed\wikiart_mixed\Cubism\Cubism_0005.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0005.png,1032,511,RGB,png,3,0.29775357,0.7599785,0.008199941
datasets\processed\wikiart_mixed\Cubism\Cubism_0006.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0006.png,799,511,RGB,png,1,0.59110457,0.0,0.024837092
datasets\processed\wikiart_mixed\Cubism\Cubism_0007.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0007.png,511,652,RGB,png,1,0.40273157,0.0,0.006846996
datasets\processed\wikiart_mixed\Cubism\Cubism_0008.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0008.png,511,776,RGB,png,1,0.4215205,0.0,0.04341089
datasets\processed\wikiart_mixed\Cubism\Cubism_0009.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0009.png,638,511,RGB,png,3,0.40313542,0.7599785,0.021132931
datasets\processed\wikiart_mixed\Cubism\Cubism_0010.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0010.png,511,645,RGB,png,3,0.48540944,0.7599785,0.015047412
datasets\processed\wikiart_mixed\Cubism\Cubism_0011.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0011.png,614,511,RGB,png,1,0.3342021,0.0,0.004548704
datasets\processed\wikiart_mixed\Cubism\Cubism_0012.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0012.png,511,602,RGB,png,1,0.52700704,0.0,0.011220934
